,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Bastrop Middle School, TEA:, Bastrop, Sondra Senn / Eliza Ramirez,CC,Varsity ,2010,51230,1,1,1,1,1,1,1,1,C," Moscow, 1941  (Balmages)", Pinnacle  (Grice), Winchester March (John Edmondson)
1, 100-Concert Band, Burnet Middle School, TEA:, Austin, Robert Cotter / John Armstrong,CC,Varsity ,2010,51538,3,3,3,3,3,3,3,3, , Great Hills Trail (Bob Cotter), Portrait of a Clown (Frank Ticheli), Glen Canyon Overture (John Edmondson)
2, 100-Concert Band, Cedar Creek M. S., TEA:, Cedar Creek, Dago Gonzalez,CC,Varsity ,2010,51062,2,2,3,2,3,2,3,3, , Fort Canterbury March (Holsinger), Flight of Eagles  (Del Borgo), Russian Sailor's Dance  (Gliere/Williams)
3, 100-Concert Band, Dessau Middle School, TEA:, Austin, Denise Bell / Jana Galloway,CCC,Varsity ,2010,51303,1,2,1,1,1,1,1,1,C, Kilkenny Brigade (Ployhar), Slane  (Anon. or Trad./Wagner), Two British Folk Songs  (Anon. or Trad./Del Borgo)
4, 100-Concert Band, Dessau Middle School, TEA:, Austin, Jana Galloway / Denise Bell,CCC,Non-Varsity ,2010,50969,1,2,1,1,2,2,3,2,2, Courage March (Bennet/Clarke), Brother James' Air  (Wagner), Russian Sailor's Dance  (Gliere/Williams)
5, 100-Concert Band, Dobie Middle School, TEA:, Austin, Ronda Pohner / Neil Hilton,CC,Non-Varsity ,2010,52534,4,3,3,3,4,4,3,4, , Two Classic Miniatures  (Anon. or Trad./Williams), Dance Celebration  (Smith), Stony Creek March (McGinty)
6, 100-Concert Band, Fulmore Middle School, TEA:, Austin, Cara Patterson,CC,Varsity ,2010,52181,1,1,1,1,1,2,1,1,C, La Fiesta Brava (Edmondson), Joy (Ticheli), Knights of Dunvegan (Meyer)
7, 100-Concert Band, Fulmore Middle School, TEA:, Austin, Cara Patterson / Beverly Michelson & Skipper McWithey,CC,Non-Varsity ,2010,52184,1,1,1,1,2,2,1,2,2, Fighting Falcon March (Stalter), Serengeti Dreams (Smith), Pinnacle (Grice)
8, 100-Concert Band, Kealing Middle School, TEA:, Austin, Mark Gurgel,CCC,Varsity ,2010,51019,1,1,1,1,1,1,1,1,C, El Capitan (Sousa/Fennell), Ye Banks and Braes O' Bonnie Doon  (Grainger), Joy Revisited (Ticheli)
9, 100-Concert Band, Kealing MS, TEA:, Austin, Sara Robison,CCC,Non-Varsity ,2010,51607,1,1,1,1,1,1,1,1,D, Honor Roll March (Mark Williams), La Volta  (Byrd/Fenske), Two British Folk Songs  (Anon. or Trad./Del Borgo)
10, 100-Concert Band, Kelly Lane Middle School, TEA:, Pflugerville, Cynthia Mixon,CC,Non-Varsity ,2010,54100,1,1,1,1,1,1,1,1,D, Nottingham March (Williams), Whirlwind (Blackshaw), Modal Song and Dance (Del Borgo)
11, 100-Concert Band, Kelly Lane Middle School, TEA:, pflugerville, Kurt Moede,CC,Sub Non-Varsity ,2010,51084,2,2,2,2,2,1,2,2, , Milky Way March (Molter), Dance Celebration (Smith), Ballet of Spring (O'Conner)
12, 100-Concert Band, Kelly Lane Middle School, TEA:, pflugerville, Kurt Moede,CC,Varsity ,2010,51073,1,1,1,1,1,1,1,1,C, Command March (Edmondson)," Two Irish Sketches, II. Dance of the Leprechauns (Black)", Knights of Dunvegan  (Meyer)
13, 100-Concert Band, Lamar Middle School, TEA:, Austin, David Lee Sellers Jr,CC,Varsity ,2010,51093,1,1,1,1,1,1,1,1,C, Advance Guard March (Nowak), Portrait of a Clown  (Ticheli), American Folk Tune Adventure  (Gorham)
14, 100-Concert Band, Lamar Middle School, TEA:, Austin, James Hairston,CC,Non-Varsity ,2010,51326,2,2,2,2,2,2,2,2, , The Golden Eagle March (John Edmondson), Canon of Peace  (Jennings), Crusade  (Gassi)
15, 100-Concert Band, Martin Middle School, TEA:, Austin, Kevin Isaacks / Christopher Noce,CC,Varsity ,2010,51738,3,3,4,3,4,4,4,4, , Manchester March (John Edmondson), Pavane  (Ravel/Smith), Voodoo Dance  (del Borgo)
16, 100-Concert Band, Murchison Middle School, TEA:, Austin, Gennie Pawling,CCC,Sub Non-Varsity ,2010,51710,1,1,1,1,1,2,1,1,D, Nottingham March (Jerry Williams), Two English Dances  (Anon. or Trad./O'Reilly), Little Brazil Suite  (Balent)
17, 100-Concert Band, Murchison Middle School, TEA:, Austin, Jeff Corneille,CCC,Non-Varsity ,2010,51709,1,1,1,1,2,1,2,2,2, March of the Irish Guard (Ployhar), Korean Hill Song  (Williams), Atlantis  (McGinty)
18, 100-Concert Band, Murchison Middle School, TEA:, Austin, Whitney Crowley,CCC,Varsity ,2010,51706,1,1,1,1,1,1,1,1,C, Normandy Beach March (Edmondson), Dona Nobis Pacem (Sudduth), Knights of Dunvegan (Meyer)
19, 100-Concert Band, O. Henry Middle School, TEA:, Austin, Jennifer Boltz,CCC,Non-Varsity ,2010,51772,1,2,2,2,1,1,2,1,2, March of the Paratroopers (Mark Williams), Distant Horizons (Michael Sweeney), Soldiers' Processsion and Sword Dance  (Bob Margolis)
20, 100-Concert Band, O. Henry Middle School, TEA:, Austin, Sedric Pinkney,CC,Varsity ,2010,51758,2,2,1,2,1,1,2,1,2, La Fiesta Brava (John Edmondson), In The Shining Of The Stars  (Robert Sheldon), Flight of Eagles (Elliot Del Borgo)
