,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Canyon HS, TEA:, New Braunfels, Jason Adam,AAAAAA,Varsity ,2016,108939,1,1,1,1,1,1,1,1,A, Easter Monday on the White House Lawn (Sousa / Rogers), A Hymn for The Lost And The Living  (Ewazen), The Speed of Heat  (Giroux)
1, 100-Concert Band, Churchill High School, TEA:, San Antonio, Tony Ruiz,AAAAAA,Varsity ,2016,111775,1,1,1,1,1,1,1,1,A, Easter Monday on The White House Lawn (Sousa/Rogers), Southern Harmony (play 3 mov'ts) (Grantham/ ), Aegean Festival Overture (Makris/Bader)
2, 100-Concert Band, Claudia Taylor Johnson HS, TEA:, San Antonio," Jarrett Lipman / Alan Sharps, Jordan Stern",AAAAAA,Varsity ,2016,113173,1,1,1,1,1,1,1,1,A, Jupiter  (Holst/ ), Irish Tune (from County Derry) (Grainger/Rogers/SMC), The Liberty Bell (Sousa/Brion/Schissel)
3, 100-Concert Band, East Central HS, TEA:, San Antonio, James Benton,AAAAAA,Varsity ,2016,112075,1,1,2,1,1,1,1,1,A, Colossus of Columbia (Alexander/ Arr. Bainum), Glaciers  (Director/ ), Instinctive Travels  (Markowski/ )
4, 100-Concert Band, Judson High School, TEA:, Converse," Jeffrey Keyes / Austin Clements, Dean Ponseti",AAAAAA,Varsity ,2016,112735,1,1,1,1,1,1,1,1,A, His Honor (Fillmore/Fennell), La Procession du Rocio  (Turina/Reed), Noisy Wheels of Joy  (Whitacre)
5, 100-Concert Band, Lee HS, TEA:, San Antonio, Brannon Baker,AAAAAA,Varsity ,2016,112403,1,1,1,1,1,2,2,2,1," Toccata Marziale (new addition arr by Battisti available, full score) (Vaughan Williams/ )", Euphoria  (Frantzen/ ), El Capitan (Sousa)
6, 100-Concert Band, MacArthur HS, TEA:, San Antonio, Alan Greulich,AAAAAA,Varsity ,2016,113304,1,1,1,1,2,2,2,2,1, Army of the Nile (Kenneth Alford/Fennell), Festivo (Edward Gregson), Shadow Rituals (Michael Markowski)
7, 100-Concert Band, Madison HS, TEA:, San Antonio, Philip Flynn,AAAAAA,Varsity ,2016,113962,1,1,1,1,1,1,1,1,A, March of the Women Marines (Louis Saverino ), Variations on a Theme of Robert Schumann  (Jager/ ), Finale (from Symphony No. 5)  (Shostakovich/Righter)
8, 100-Concert Band, New Braunfels HS, TEA:, New Braunfels, Kenneth Vise,AAAAAA,Varsity ,2016,112614,1,1,1,1,1,1,1,1,A, The Earle of Oxford's Marche (from Wm Byrd Suite) (Jacob), Do Not Go Gentle Into That Good Night (Del Borgo), The Hounds of Spring  (Reed )
9, 100-Concert Band, Reagan HS, TEA:, San Antonio," Daniel Morrison / Greg White, Mason Daffinee, Ray Ulibarri",AAAAAA,Varsity ,2016,114695,1,1,1,1,1,1,1,1,A, Till Eulenspiegel's Merry Pranks  (Strauss/Hindsley), J'ai ete au bal  (Grantham/ ), George Washington Bicentennial March (Sousa)
10, 100-Concert Band, Roosevelt HS, TEA:, San Antonio, Patrick Finkbeiner,AAAAAA,Varsity ,2016,113488,1,1,1,1,1,1,1,1,A, Sky Ranger (K.L. King), Sketches on a Tudor Psalm  (Tull/ ), Russian Christmas Music  (Reed/ )
11, 100-Concert Band, Samuel Clemens HS, TEA:, Schertz, Robert Petrisky,AAAAAA,Varsity ,2016,109497,1,1,1,1,1,1,1,1,A, Under the Double Eagle (J.F. Wagner/ Andrew Glover), La Cenerentola (Selections)  (Rossini/Daehn), Vesuvius  (Ticheli/ )
12, 100-Concert Band, Smithson Valley HS, TEA:, Spring Branch," Matt Boening / Dain Vereen, Jeff Yates, Sam Woodfield",AAAAAA,Varsity ,2016,111296,1,1,1,1,1,1,1,1,B, Entry March of the Boyars (Halvorsen/Fennel), Sleep  (Whitacre), Overture to Candide  (Bernstein/Grundman)
13, 100-Concert Band, Steele HS, TEA:, Cibolo, Steven Deater,AAAAAA,Varsity ,2016,113981,1,1,1,1,1,1,1,1,B, Pas Redouble' (Saint-Saens/Frackenpohl)," Armenian Dances, Set I  (Reed)", Ride  (Hazo)
14, 100-Concert Band, Wagner HS, TEA:, San Antonio, Jeremy Chapman,AAAAAA,Varsity ,2016,113894,1,1,1,1,2,2,2,2,1, Commando March  (Samuel Barber/edited R. Anderson Collinsworth), Elegy (John Barnes Chance)," Prelude, Siciliano, and Rondo (Malcolm Arnold/arr. John P Paynter)"
