,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Anna High School, TEA:, Anna, Chris Burk,AAA,Varsity ,2009,43147,1,1,1,1,3,2,2,2,1, Latin Folk Song Trilogy  (Himes), Songs Of The Whalemen  (Del Borgo), Free World March ()
1, 100-Concert Band, Bells High School, TEA:, Bells, Michael Walker,AA,Varsity ,2009,44179,2,2,2,2,2,2,1,2, , March of the Irish Guard (James D. Ployhar), Kenya Contrasts  (Himes), Knights of Dunvegan  (Meyer)
2, 100-Concert Band, Blue Ridge High School, TEA:, Blue Ridge, Todd E. Modgling,A,Varsity ,2009,44568,3,2,3,3,2,3,2,2, , Knights of Dunvegan  (Meyer), The Harmonious Blacksmith  (Handel/Osterling), The Legionnaires March (John Philip Sousa/Harold Gore)
3, 100-Concert Band, Bonham HS, TEA:, Bonham," Blake Edmondson / Stephen Morgan, David Bradley",AAA,Varsity ,2009,43245,2,2,2,2,2,2,2,2, , Algeria (Karl L. King), Knights of Dunvegan  (Meyer), Nemu-Susato  (Van der Roost)
4, 100-Concert Band, Celina High School, TEA:, Celina," Russ Rutherford / Cobb, Leah",AAA,Varsity ,2009,44609,1,1,1,1,1,1,1,1,A, King Karl KIng (Filmore)," He's Gone Away (Allen, Fred)", Fantasy on a Fiddle Tune (LaPlante)
5, 100-Concert Band, Community High School, TEA:, Nevada, Steve Sells,AAA,Varsity ,2009,43663,3,3,3,3,3,1,3,3, , Knights of Dunvegan  (Meyer), West Highlands Sojourn  (Sheldon), Norland March (Kinyon)
6, 100-Concert Band, Farmersville High School, TEA:, Farmersville, Richard Holbrook / Scott Cross,AAA,Varsity ,2009,44387,2,2,2,2,3,2,2,2, , Gallant Marines March (King / Swearingen), Prospect  (La Plante), Legend of Knife River  (Bulla)
7, 100-Concert Band, Gunter High School, TEA:, Gunter, Justin Wallis,AA,Varsity ,2009,43836,2,1,2,2,1,1,1,1,1, Big Four March (King/Swearingen), Our Kingsland Spring  (Hazo), Journey Down Niagara  (Tucker)
8, 100-Concert Band, Honey Grove HS, TEA:, Honey Grove, Dennis Syring / JoAnnSyring,AA,Var-Composite ,2009,43428,1,2,2,2,2,1,2,2, , MARCH OF THE IRISH GUARD (PLOYAR), West Highlands Sojourn (play two contrasting mvts) (Sheldon), Pinnacle  (Grice)
9, 100-Concert Band, Howe High School, TEA:, Howe," Angie Cavender / Julie Cook, Mike Marsh",AA,Varsity ,2009,44449,1,1,1,1,1,1,1,1,A, The Directorate (Sousa/Byrne/Boyd), American Sailing Songs  (Milford)," Second Suite in F for Military Band (play mvt 1, 2 or 4) (Holst/Matthews)"
10, 100-Concert Band, Lovejoy High School, TEA:, Lucas, James Bachrach,AAA,Non-Varsity ,2009,44498,1,1,2,1,1,1,1,1,C, Big Four March (King/Swearingen), Song of Hope  (Swearingen)," Moscow, 1941  (Balmages)"
11, 100-Concert Band, Lovejoy High School, TEA:, Lucas, Michael Cruz,AAA,Varsity ,2009,44497,1,1,1,1,1,1,1,1,A, First Suite in Eb (3rd Mvt. March) (Holst/Longfield), October  (Whitacre), Canarios Fantasia  (Akey)
12, 100-Concert Band, Melissa High School, TEA:, Melissa, Kent Tidwell / Ray Cox,AA,Varsity ,2009,44411,2,2,2,2,2,1,1,1,1, Tall Cedars Concert March (Eric Osterling), Quintology  (Meyer)," Moscow, 1941  (Balmages)"
13, 100-Concert Band, Pottsboro High School, TEA:, Pottsboro, Douglas Morris,AA,Varsity ,2009,43792,1,2,1,1,1,2,2,2,1, Peacemaker March (King / Morris), Harvesting The Fields of Russia  (Lucas), Havendance  (Holsinger)
14, 100-Concert Band, Princeton High School, TEA:, Princeton, Bob McClure,AAA,Non-Varsity A,2009,44676,1,2,1,1,2,1,2,2,2, Cluster Fluster Bluster March (David Holsinger), A Tribute to Grainger (play at least mvts 2 or 3) (Grainger/Ragsdale), Journey Down Niagara  (Tucker)
15, 100-Concert Band, Princeton High School, TEA:, Princeton, Brandon Brewer,AAA,Varsity ,2009,44537,1,1,1,1,1,1,1,1,A, Marche Militaire Francaise (Saint-Saens/Hindsley), Second Suite in F for Military Band  (Holst/Matthews), Symphonic Dance No. 3 (Fiesta)  (Williams)
16, 100-Concert Band, Prosper High School, TEA:, ," Gilbert Flores / Scott Olsen, Cory Carter",AAA,Varsity ,2009,44041,1,1,1,1,1,1,1,1,A, Omaha Beach (Concert March) (John Edmondson), West Highlands Sojourn  (Sheldon), Fantasy on a Fiddle Tune  (LaPlante)
17, 100-Concert Band, S and S CISD, TEA:, Sadler, Terry Lovett,AA,Varsity ,2009,44520,3,2,3,3,3,2,2,2, , Radetzky March (Strauss/Balent), Atlantis  (McGinty), Legend of Knife River  (Bulla)
