,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Bailey Junior High, TEA:, Arlington, Ken Callaway,CCC,Non-Varsity ,2010,55645,3,2,2,2,3,3,3,3, , March Concord (John Edmondson), Atlantis (Anne McGinty), Voodoo Dance (Elliot Del Borgo)
1, 100-Concert Band, Bailey Junior High, TEA:, Arlington, Pam Garmon,CCC,Varsity ,2010,55754,1,1,1,1,1,1,2,1,C, Winchester March (John Edmondson), Kenya Contrasts (William Himes), Contempo (Michael Story)
2, 100-Concert Band, Barnett Junior High, TEA:, Arlington, Megan Czerwieski,CCC,Varsity ,2010,56619,1,2,1,1,1,1,1,1,C, Hosts of Freedom (King/Paynter), Linden Lea  (Vaughan Williams/Stout), Joy  (Ticheli)
3, 100-Concert Band, Barnett Junior High, TEA:, Arlington, Rod Rooker,CCC,Non-Varsity ,2010,56630,1,1,1,1,1,1,1,1,D, New South Wales March (John Edmondson), Korean Hill Song  (Williams), Sea Song Trilogy  (McGinty)
4, 100-Concert Band, BOLES JHS, TEA:, Arlington, Robert Seligson,CCC,Varsity ,2010,55148,1,1,1,1,1,2,2,2,2, United Nations March (King-Swearingen)," Simple Gifts, Four Shaker Songs -IV. Simple Gifts (Ticheli)", River of Dreams  (Lopez)
5, 100-Concert Band, Boles Jr. High School, TEA:, Arlington, Jessica Parker,CCC,Non-Varsity ,2010,55229,2,2,2,2,2,2,2,2, , March of the Majestics (Robert Sheldon), Two Minute Symphony  (Margolis), Wildwind Overture  (Kinyon)
6, 100-Concert Band, Brooks Wester Middle School, TEA:, Mansfield, Christin Alkhazshvilly,CCC,Non-Varsity ,2010,56296,1,1,1,1,1,1,1,1,D, March to Castle Rock (Steve Hodges), Nottingham Castle  (Daehn), Pinnacle  (Grice)
7, 100-Concert Band, Brooks Wester Middle School, TEA:, Mansfield, Nathan Wood,CCC,Varsity ,2010,55958,1,1,1,1,1,1,1,1,C, Prestissimo (King), Variations on Scarborough Fair  (Custer), American Riversongs  (La Plante)
8, 100-Concert Band, Carter JH, TEA:, Arlington," Chad Strother / Chad Strother, Dale Colgrove",CCC,Varsity ,2010,56848,3,3,3,3,4,4,4,4, , The Lone Eagle March (John Edmondson), Two British Folk Songs  (Anon. or Trad./Del Borgo), Contempo  (Story)
9, 100-Concert Band, Coble Middle School, TEA:, Arlington," Leo Castorena, Jr.",CCC,Varsity ,2010,54652,1,1,1,1,1,1,1,1,C, Circus Days (Karl King/Arr. Schissel), Sinfonia VI: The Four Elements  (Broege), The Steppes of Russia  (Del Borgo)
