,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Aransas Pass HS, TEA:, Aransas Pass, Robert Schneider / Ramiro Lichtenberger,AAA,Varsity ,2021,164574,1,1,1,1,1,1,1,1,A, Knights of Dunvegan  (Meyer), Bazaar  (Standridge), American Patrol ( Ed Huckeby)
1, 100-Concert Band, Blunt MS, TEA:, Corpus Christi, Ramiro Lichtenberger,C,Varsity ,2021,164654,1,1,1,1,1,1,1,1,C, Castles & Kings  (Bruce Pearson), Dance Celebration  (Smith), Majestica  (Gazlay)
2, 100-Concert Band, Gregory Portland MS, TEA:, Portland, Jeremy Anderson / Ryan Sanders,CCC,Varsity ,2021,164882,1,1,1,1,1,1,1,1,C, Captain Dane March (William Owens), Pinnacle  (Grice), Starship  (O'Reilly)
3, 100-Concert Band, Gregory-Portland HS, TEA:, Portland, Chris Morrow,AAAAA,Varsity ,2021,164632,1,1,1,1,1,1,1,1,B, Amparito Roca (Texidor/Winter), Salvation is Created  (Tschesnokoff/Houseknecht), Vesuvius  (Ticheli)
4, 100-Concert Band, Gregory-Portland HS, TEA:, Portland, Sammy Posada Jr,AAAAA,Non-Varsity ,2021,164628,1,1,1,1,1,1,1,1,C, Dancing Kites  (Bernotas), Black Forest Overture  (Sweeney), New Forest March (Vinson)
5, 100-Concert Band, Ingleside HS, TEA:, Ingleside, Kenneth Thurman,AAAA,Varsity ,2021,164683,1,1,1,1,1,1,1,1,A, Alamo (King), Our Kingsland Spring  (Hazo), Prelude and Fugue in Bb Major  (Bach/Moehlmann)
6, 100-Concert Band, Taylor JH, TEA:, Ingleside, Dwight Dodd,CC,Varsity ,2021,164688,1,1,1,1,1,2,1,1,C," March from ""First Suite for Military Band"" (Holst/Story)", Seregeti Dreams (RW Smith), Crusade (V. Gassi)
