,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Benold Middle School, TEA:, Georgetown, Steve Stevenson,CC,Varsity ,2011,61878,2,2,1,2,1,1,1,1,2, Russian Sailor's Dance  (Gliere/Williams),  Sparks  (Balmages), March in F (Beethoven/ed. Dunnigan)
1, 100-Concert Band, C.D. Fulkes Middle School, TEA:, Round Rock, Jon McPhail / Andrea Camacho,CC,Varsity ,2011,61364,2,2,2,2,1,2,1,1,2, Bravura (C.E. Duble), Flight of Eagles  (Del Borgo), Cumberland Cross  (Strommen)
2, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Amy Allison,CC,Varsity ,2011,60145,1,1,1,1,1,1,1,1,C, The Trombone King (King/Paynter),  Song for Lyndsay  (Boysen), Country Gardens  (Grainger/Sousa/Brion/Schissel)
3, 100-Concert Band, Canyon Vista, TEA:, Austin, Mark Piwetz,CCC,Varsity ,2011,61353,1,1,1,1,1,1,1,1,C, The Corcoran Cadets  (Sousa/Fennell), ...And the Antelope Play (Carnahan), Greek Folk Song Suite  (Cesarini)
4, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, Manuel San Luis,CCC,Varsity ,2011,61305,1,1,1,1,2,2,2,2,2," March of the Trolls, from Lyric Suite, Op. 54 (Edvard Grieg/arr. by Brian Beck)"," Simple Gifts, Four Shaker Songs (Mvts. 1,3 and 4) (Ticheli)"," Fugue, from Toccata, Adagio and Fugue, BWV564 (J.S. Bach/arr. by John Paynter)"
5, 100-Concert Band, Cedar Valley Middle School, TEA:, Austin, Jane Botkin,CCC,Varsity ,2011,61161,2,2,2,2,2,1,2,2, , Hill Country Flourishes  (Barton), Butterfly's Ball  (Fraley), Procession of The Nobles (Rimsky-Korsakov-Balent)
6, 100-Concert Band, Chisholm Trail MS, TEA:, Round Rock, Tracey Redus,CCC,Varsity ,2011,60448,1,2,2,2,2,2,2,2, , Under The Double Eagle (J.F. Wagner/Calvin Custer), Satiric Dances (play mvt 3) (Dello Joio),  J. S. Jig  (Karrick)
7, 100-Concert Band, Deerpark Middle School, TEA:, Austin, Darcy Williams,CCC,Varsity ,2011,60869,1,1,1,1,1,2,2,2,2, The Liberty Bell (Sousa/Story), Butterfly's Ball  (Fraley)," Moscow, 1941  (Balmages)"
8, 100-Concert Band, Elgin Middle School, TEA:, Elgin, David Cross,CC,Varsity ,2011,62151,2,2,2,2,2,1,1,1,2, Tahoka Galop (William Owens)," Early One Morning, English Country Settings II (play at least two mvts) (La Plante)",  Sparks  (Balmages)
9, 100-Concert Band, Forbes Middle School, TEA:, Georgetown, Jackie Fullerton / Lauren Esparza,CC,Varsity ,2011,61073,1,1,1,1,1,1,1,1,C, Themes from Green Bushes  (Grainger/Daehn), Our Kingsland Spring  (Hazo), Kingsfold March (Victor Flowers)
10, 100-Concert Band, Grisham Middle School, TEA:, Austin, Betty Bierschenk-Pierce,CC,Varsity ,2011,60417,1,1,1,1,1,1,1,1,C, Mercury (Jan Van der Roost), Culloden (play mvts 1 & 2) (Giroux), Variations on a Korean Folk Song  (Chance)
11, 100-Concert Band, Henry Middle School, TEA:, Cedar Park, Robert Herrings,CCC,Varsity ,2011,62226,1,1,1,1,1,1,1,1,C, Pas Redouble (Camille Saint-Saens/Frackenpohl), Dances of Innocence (Jan Van der Roost), Shepherd's Hey  (Grainger/Rogers)
12, 100-Concert Band, Hopewell Middle School, TEA:, Round Rock, Kevin Crawford,CCC,Varsity ,2011,60545,2,2,2,2,1,1,1,1,2," Simple Gifts, Four Shaker Songs (play mvt 1, 2, or 4) (Ticheli)", Singapura Suite (play all) (Van der Roost), Orange Bowl (Henry Fillmore)
13, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Ryan ODonoghue,CC,Varsity ,2011,62496,2,2,2,2,2,2,2,2, , Big Circus March (Foster), The Red Balloon  (McGinty), Flight of Eagles  (Del Borgo)
14, 100-Concert Band, Hutto Middle School, TEA:, Hutto, JoAnn Champion / Brent Acuff,CC,Varsity ,2011,61856,2,3,3,3,2,3,2,2, , St. Petersburg March (Vinson), The Band in the Square on the Fourth of July  (LaPlante), Under An Irish Sky  (Neeck)
15, 100-Concert Band, Lake Travis MS, TEA:, Austin, Kevin Jedele,CC,Varsity ,2011,62074,DQ,DQ,DQ,DQ,1,1,2,1,2," Fanfare, Ode and Festival  (Margolis)", Simple Gifts Mvmt III (Ticheli), Valley Forge March (Karl King/Swearingen)
