,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Ann Richards Middle School, TEA: 227901028, Austin," Linda Aguilar / Emily Bingham, Stephen Howard",CC,Non-Varsity ,2022,168652,2,1,2,2,2,2,2,2, , Infinity  (Curnow), Uskudar (Anon. or Trad./Smith/Story), Exhortation (Gazlay)
1, 100-Concert Band, Burton High School, TEA: 239-903, Burton, Larry Silcox,AA,Varsity ,2022,170144,2,2,2,2,1,1,1,1,1, Darklands March (Standridge), American Folk Tune Adventure (28) (Gorham/), Korean Hill Song (656) (Williams)
2, 100-Concert Band, Caldwell Middle School (26), TEA: 026-901, Caldwell, Rachel Hall / Cody Knott,CC,Varsity ,2022,168701,3,2,2,2,1,2,1,1,2, Zig Zag (22324)  (OLoughlin), Courtlandt County Festival (15820) (Owens), The Titans (Curnow)
3, 100-Concert Band, Columbus Jr. High School, TEA: 45902, Columbus, Brian Straw / Amanda Robison,C,Varsity ,2022,169279,2,2,2,2,1,1,1,1,2, Sakura (62)  (Traditional/Story), Summit Fanfare (17493)  (Owens), Kensington March (John Edmondson)
4, 100-Concert Band, Flatonia High School, TEA: 075901, Flatonia, Paige Bowers,AA,Var-Composite ,2022,169251,1,1,2,1,1,2,1,1,A, Colliding Visions (17502)  (Balmages), Distant Horizons (66)  (Sweeney), Spania (Shaffer)
5, 100-Concert Band, Giddings Middle School (26), TEA: 144901, GIDDINGS," Anthony Tiger / Brian Stewart, John Wesley, Austin Leonard",CC,Varsity ,2022,167962,1,1,1,1,1,1,1,1,C," The ""X"" Brigade (Robert Longfield)", Armory (Randall Standridge ), Colliding Visions (Brian Balmages)
6, 100-Concert Band, Gonzales Jr. High, TEA: 089901, Gonzales," Jerry Scoggin / Ian McDaniel, Michael Holubec",CC,Non-Varsity ,2022,169066,2,2,3,2,1,1,1,1,2, Young America March (Kinyon), Mercury Rising (Milford), Court Festival (Byrd/Arr. Pearson)
7, 100-Concert Band, Gonzales Jr. High, TEA: 089901, Gonzales," Jerry Scoggin / Ian McDaniel, Michael Holubec",CC,Varsity ,2022,169063,4,3,3,3,3,2,2,2, , Union March (Rogers), Danza de Espana (Chambers), Acropolis (Putnam)
8, 100-Concert Band, Granger High School, TEA: 246905001, Granger, Kyle Popovec,AA,NVar-Composite ,2022,168188,1,1,1,1,1,1,1,1,C, Synergy March (William Owens), Dance Celebration (Robert W. Smith), Golden Dawn (Peter Terry)
9, 100-Concert Band, Hallettsville Junior High, TEA: 1978323, Hallettsville, Jessica Carter / Mark Halamicek,C,Varsity ,2022,169314,1,1,1,1,1,1,1,1,C, March for a Norwegian Penguin (Douglas E. Wagner), Uskudar (Robert W. Smith & Michael Story), Qin Shi's Stone Army (Tyler Arcari)
10, 100-Concert Band, La Grange Middle School, TEA: 075902, La Grange," Chris Cooper / Eric Daniels, Christian Pitre",CC,Varsity ,2022,168226,1,1,1,1,1,1,1,1,C, Darklands March (Standridge), As Twilight Falls (17497)  (Sheldon), Contempo (16202)  (Story)
11, 100-Concert Band, La Grange Middle School, TEA: 75902, La Grange," Eric Daniels / Chris Cooper, Christian Pitre",CC,Non-Varsity ,2022,167768,1,1,1,1,1,1,1,1,D, Synergy March (Owens), Plaza de Toros (20709)  (Story), Vulcans Forge (24127)  (Roszell)
12, 100-Concert Band, Lexington Middle School (26), TEA: 144902041, Lexington, Raelynn Najera / James Willbanks,C,Non-Varsity ,2022,170524,2,3,2,2,1,1,1,1,2, March of the Chinchillas (Paul), In The Bleak Midwinter (Holst/Bullock), Zig Zag (O�Loughlin)
13, 100-Concert Band, Manor New Tech Middle School, TEA: 227907, Manor, Kim Yeager / Ricardo Rodriguez,CC,Non-Varsity ,2022,169306,1,1,1,1,1,1,1,1,D, Crusade (Gassi), Gathering in the Glen (Sweeney), Liberty March  (Edmondson)
