,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Abell Junior High, TEA:, Midland, Jordan Holmes,CCC,Varsity ,2013,83069,2,1,1,1,2,2,1,2,2, Our Heritage March (King), West Highlands Sojourn (Sheldon), Kentucky 1800  (Grundman)
1, 100-Concert Band, Alamo Junior High, TEA:, Midland, Stacy McBurney,CCC,Varsity ,2013,86548,1,1,1,1,2,2,3,2,2, Adrenaline Engines  (Standridge/ ), The Steppes of Russia  (Del Borgo/ ), Newcastle March (Vinson)
2, 100-Concert Band, Bonham JH, TEA:, Odessa, Hector Izaguirre / Brian Roberson,BBB,Varsity ,2013,86208,1,1,1,1,1,1,1,1,C, United Nations (Karl King), Steel  (Standridge), A Longford Legend (play one mvt) (Sheldon/ )
3, 100-Concert Band, Bowie JH, TEA:, Odessa, Brandt Sayger / Josh Boyd,BBB,Non-Varsity ,2013,83825,2,1,2,2,2,2,1,2, , Captain Dane March (Owens), Colliding Visions  (Balmages/ ), Atlantis  (McGinty/ )
4, 100-Concert Band, Bowie JH, TEA:, Odessa, Josh Boyd / Brandt Sayger,BBB,Varsity ,2013,83814,1,2,1,1,1,1,1,1,C, Cyrus the Great (K.L. King), Ye Banks and Braes O' Bonnie Doon  (Grainger/ ), Summer Dances  (Balmages/ )
5, 100-Concert Band, Crockett Junior High, TEA:, Odessa, Nathan Taylor / Sean Ellis,BBB,Varsity ,2013,86553,3,2,3,3,2,2,3,2, , Little Champ (Ted Mesang/Quincy C. Hilliard), Barbarossa  (Himes/ ), Steel  (Standridge/ )
6, 100-Concert Band, Ector JH-BAND, TEA:, Odessa, Jeff Patterson / Kimberley Skinner,BBB,Non-Varsity ,2013,84833,3,2,1,2,3,3,2,3, , Radetzky March: A Concert in Vienna (Strauss/Lopez), Cascadia Celebration  (Hodges/ ), Phantom Ship  (Del Borgo/ )
7, 100-Concert Band, Ector JH-BAND, TEA:, Odessa, Jeff Patterson / Kimberley Skinner,BBB,Varsity ,2013,84830,1,1,1,1,1,1,1,1,C, Imperial (King/Swearingen), J. S. Jig  (Karrick/ ), Pablo!  (Meyer/ )
8, 100-Concert Band, Glenn Middle School, TEA:, San Angelo, Adam Chappell / Kristin Ellis,CCC,Varsity ,2013,82129,1,1,1,1,1,1,1,1,C, Monterey March (Pierre La Plante), Joy  (Ticheli)," Moscow, 1941  (Balmages)"
9, 100-Concert Band, Glenn Middle School, TEA:, San Angelo, Kristin Ellis / Adam Chappell,CCC,Non-Varsity ,2013,82123,3,3,3,3,3,2,2,2, , Winchester March (John Edmondson), Nottingham Castle  (Daehn/ ), Majestica  (Gazlay/ )
10, 100-Concert Band, Goddard Junior High, TEA:, Midland, Kevin Broome / Michele Kahne,CCC,Varsity ,2013,83058,1,1,2,1,2,2,3,2,2, Cumberland Cross  (Strommen/ ), Adrenaline Engines  (Standridge/ ), Spania (Shafffer)
11, 100-Concert Band, Grape Creek MS, TEA:, San Angelo, John Merz,C,Varsity ,2013,86410,3,3,3,3,2,2,3,2, , Valdres (Hanssen/Smith), Skye Boat Song  (Anon. or Trad./O'Reilly), Distant Horizons  (Sweeney/ )
12, 100-Concert Band, John B. Hood JH, TEA:, Odessa, Benjamin Grabber / Tyler Owen,CC,Varsity ,2013,85882,1,2,2,2,2,2,2,2, , Highlander Regiment (James Ployhar), Maesong  (Owens/ ), Contempo  (Story/ )
13, 100-Concert Band, Lee Middle School, TEA:, San Angelo, David Lance Heath / George Clark,CC,Non-Varsity ,2013,84806,1,1,1,1,3,2,2,2,2, March Of The Minutemen (John Edmondson), Soldiers' Processsion and Sword Dance  (Margolis/ ), Voodoo Dance  (Del Borgo/ )
14, 100-Concert Band, Lee Middle School, TEA:, San Angelo, George Clark / David Heath,CC,Varsity ,2013,84733,1,1,1,1,1,1,1,1,C, Accolade  (Himes/ ), The Steppes of Russia  (Del Borgo/ ), Castlewood March (Ralph and Jack Hale)
15, 100-Concert Band, Lincoln Middle School, TEA:, San Angelo, Brad Davis / Elgin Gregg,CC,Non-Varsity ,2013,84305,2,2,3,2,2,3,3,3, , On The Move March (Darrington White), Courtlandt County Festival  (Owens/ ), Ming Court  (Pitter/ )
16, 100-Concert Band, Lincoln Middle School, TEA:, San Angelo, Elgin Gregg / Brad Davis,CC,Varsity ,2013,79950,1,2,2,2,1,2,1,1,2, Marching Song (Holst/Moss)," Moscow, 1941 (Balmages)", Men of Ohio (Fillmore/Swearingen)
17, 100-Concert Band, Nimitz JH, TEA:, Odessa, Bryan Patterson,BBB,Varsity ,2013,85045,2,1,2,2,1,2,1,1,2, Emblem of Unity (J. J. Richards), Tricycle  (Boysen/ ), American Riversongs  (La Plante/ )
18, 100-Concert Band, Nimitz JH, TEA:, Odessa, Chris Yancey,BBB,Non-Varsity ,2013,85449,2,2,3,2,2,2,3,2, , The Explorers (Edmondson), Elizabethan Dance  (Williams/ ), Nottingham Castle  (Daehn/ )
19, 100-Concert Band, San Jacinto JH, TEA:, Midland, Sergio Tarin Jr.,CCC,Varsity ,2013,82201,2,2,2,2,1,3,2,2, , Flight of Eagles  (Del Borgo/ ), Lexington March (Edmondson), Our Kingsland Spring  (Hazo/ )
20, 100-Concert Band, Walker JH, TEA:, Monahans," Nathan Cheney / Gerardo Loya, Anthony Rivera, Chris Demas",CC,Varsity ,2013,86792,1,2,2,2,1,1,2,1,2, Normandy Beach (John Edmonson), Uskudar  (Anon. or Trad./Smith/Story), Accolade  (Himes/ )
