,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Cleveland High School, TEA:, Cleveland," Kristy Jones / Danny Diosdado, Kaila Spoonemore",AAAAA,Varsity ,2020,158392, , , , , , , , , , In Storm And Sunshine (Heed/Stevens), A Longford Legend (Sheldon), Ride (Hazo)
1, 100-Concert Band, Conroe High School, TEA:, Conroe," Bobby Heathcock / Dawn Martinez, Lee Redfearn",AAAAAA,Varsity ,2020,159345, , , , , , , , , , The Chimes of Liberty (Goldman/Schissel), Handel in the Strand (351)  (Grainger/Goldman), Seis Manuel and Volver a la Montana from Islas y Montanas (15846) (two mvts pub separately) (Hanson)
2, 100-Concert Band, Huntsville HS, TEA:, Huntsville," John Green / David Holland, Andy Twiss",AAAAA,Varsity ,2020,159379, , , , , , , , , , Emblem of Unity (Richards/Swearingen), Sheltering Sky (18324)  (Mackey), Symphonic Dance No. 3 (Fiesta) (430)  (Williams)
3, 100-Concert Band, Klein Cain High School, TEA:, HOUSTON," Kelsey Bradberry / David McGrath, Director",AAAAAA,Varsity ,2020,159753, , , , , , , , , , The Glory of the Yankee Navy (Sousa/Schissel), Sanctuary (Ticheli), Fantasies on a Theme by Haydn (Dello Joio)
4, 100-Concert Band, Klein Collins HS, TEA:, Spring," Chris Rugila / Kyle Winn, Robbie Green",AAAAAA,Varsity ,2020,160785, , , , , , , , , , Army of the Nile (Kenneth J. Alford/ed. Fennell), Suite Francaise (543)  (Milhaud), Danzon No. 2 (17583)  (Marquez/Nickel)
5, 100-Concert Band, Klein High School, TEA:, Spring," Chris Lambrecht / Kelsey Blanscet, Bill Holden",AAAAAA,Varsity ,2020,161334, , , , , , , , , , The Boys of the Old Brigade (Chambers/Claude T. Smith ), Chester Overture for Band (585)  (Billings/Schuman), San Antonio Dances (17640) (play all) (Ticheli)
6, 100-Concert Band, Klein Oak High School, TEA:, Spring," Todd Clearwater / Chris Rapacki, Kyle Marx, Max Mullinix",AAAAAA,Varsity ,2020,160458, , , , , , , , , , Symphony in Bb for Band (512) (play at least one mvt) (Hindemith), Starry Crown (17444)  (Grantham), Colossus of Columbia (Russell Alexander)
7, 100-Concert Band, Lake Creek High School, TEA:, Montgomery, Matthew Martinez / Matthew Boozer,AAAAA,Varsity ,2020,160697, , , , , , , , , , Suite Divertimento (348) (play mvts 1 & 2 or 2 & 3) (Gilbert), Abracadabra (15823)  (Ticheli), Prestissimo  (King/Swearingen)
8, 100-Concert Band, Magnolia High School, TEA:, Magnolia," Robert Medina / Patrick Beavers, Anthony Jackson",AAAAA,Varsity ,2020,159045, , , , , , , , , , His Honor (Fillmore), an American Elegy (Ticheli), Seis Manuel from Islas y Montanas (Hanson)
9, 100-Concert Band, Magnolia West High School, TEA:, Magnolia," Mike Wilson / Tai Livingston, Dillon Shaw",AAAAA,Varsity ,2020,160465, , , , , , , , , , Spoon River (Grainger/Sheldon), Redemption (Galante), American Big Top (Balmages)
10, 100-Concert Band, Montgomery High School, TEA:, Montgomery, Robert Cameron,AAAAA,Varsity ,2020,160988, , , , , , , , , , Concord (358)  (Grundman), Seis Manuel from Islas y Montanas (15844)  (Hanson), Nobles of the Mystic Shrine (Sousa/Brion)
11, 100-Concert Band, Oak Ridge High School, TEA:, Conroe, Jerriald Dillard / Albert Vela/Alissandra Celia,AAAAAA,Varsity ,2020,159558, , , , , , , , , , Till Eulenspiegel s Merry Pranks (597)  (Strauss/Hindsley), Trittico (547)  (Nelhybel), El Capitan (Sousa/Brion/Schissel)
12, 100-Concert Band, The Woodlands College Park HS, TEA:, The Woodlands, Jeffrey Gorring / Theresa Martin/RobSavala,AAAAAA,Varsity ,2020,159278, , , , , , , , , ," Oh, Henry! (Nowlin)", Traveler (19577)  (Maslanka)," Symphonic Dances, Op. 45, Mvt. III (19624)  (Rachmaninoff/Lavender)"
13, 100-Concert Band, Tomball Memorial High School, TEA:, Tomball, Andy Easton,AAAAAA,Varsity ,2020,157743, , , , , , , , , , The Gridiron Club (Sousa), English Waltz (734)  (Grainger/Rogers), Niagara Falls (481)  (Daugherty)
14, 100-Concert Band, Willis High School, TEA:, Willis, Chris Allen / Andrew Hicks,AAAAA,Varsity ,2020,159811, , , , , , , , , , The Belle of Chicago (Sousa), City Trees (Markowski), Blue Shades  (Ticheli)
