,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Jeffrey Salinas,CCC,Sub Non-Varsity ,2019,141422,1,1,1,1,1,1,1,1,D, The Band in the Square on the Fourth of July  (La Plante), Atlantis  (McGinty), Pinnacle  (Grice)
1, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, Kyle Norris,CCC,Sub Non-Varsity ,2019,140371,2,1,2,2,1,1,1,1,2, Heroes Triumphant  (Owens), Plaza de Toros  (Story), Yorktown March (Edmondson)
2, 100-Concert Band, Four Points Middle School, TEA:, Austin, Adrian Teti,CC,Sub Non-Varsity ,2019,141279,1,1,1,1,1,1,1,1,D, Infinity Concert March (Curnow), Dance Celebration  (Smith), Night Fury (Chambers)
3, 100-Concert Band, Henry MS, TEA:, Cedar Park, Katherine Willer,CCC,Sub Non-Varsity ,2019,140526,1,1,2,1,1,1,1,1,D, Pride of the Regiment (Nancy Seaward), Little Brazil Suite  (Balent), Summit Fanfare  (Owens)
4, 100-Concert Band, Hill Country Middle School, TEA:, Austin, Charles Fischer,CC,Non-Varsity ,2019,140476,2,1,1,1,1,1,1,1,D, Newcastle March (Johnnie Vinson), Dancing Kites  (Bernotas), Japanese Pictures  (Mixon)
5, 100-Concert Band, Hill Country Middle School, TEA:, Austin, Kristin Hames,CC,Varsity ,2019,141007,1,1,1,1,1,1,1,1,C, Salute to the Sultan (King/arr. Swearingen)," Simple Gifts, Four Shaker Songs (play at least three mvts) (Ticheli)", American Riversongs  (La Plante)
6, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Ryan O'Donoghue,CCC,Varsity ,2019,139887,2,1,1,1,1,1,1,1,C, Valley Forge March (King/Swearingen), On a Hymnsong of Philip Bliss  (Holsinger), Butterfly's Ball  (Fraley)
7, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Ryan O'Donoghue,CCC,Sub Non-Varsity ,2019,139874,3,3,3,3,2,2,2,2, , March Royale (Williams), Serengeti Dreams  (Smith), Plaza de Toros  (Story)
8, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Vanessa Montelongo,CCC,Non-Varsity C,2019,139883,2,2,2,2,1,1,1,1,2, Andalucia (Victor Lopez), Sakura  (Story), Cascadia Celebration  (Hodges)
9, 100-Concert Band, Lake Travis MS, TEA:, Spicewood, Kevin Jedele,CCC,Varsity ,2019,140215,1,1,1,1,1,1,1,1,C, Salute to the Sultan (Karl King arr. Milford), A Renaissance Revel (play three mvts) (Susato/Singleton), Variations on Scarborough Fair  (Custer)
10, 100-Concert Band, Lake Travis MS, TEA:, Spicewood, Lisa Hill,CCC,Non-Varsity ,2019,140091,1,1,2,1,1,1,1,1,D, Crosswinds March (James Swearingen), Majestica  (Gazlay), Big Sky Round-Up  (Sheldon)
11, 100-Concert Band, Leander MS, TEA:, Leander," Chloe Davis / Cathy Teltschik, Matt Newton",CCC,Sub Non-Varsity ,2019,141552, , , , , , , , , , Infinity March (Curnow), Theme and Variations  (Broege), The Spacious Firmament on High  (Sharp)
12, 100-Concert Band, Marble Falls Middle School, TEA:, Marble Falls, RACHEL FAEHNLE,CC,Varsity ,2019,144330,3,3,2,3,2,1,1,1,2, Gateway March (Osterling), Colliding Visions  (Balmages), Japanese Pictures  (Mixon)
13, 100-Concert Band, Marble Falls Middle School, TEA:, Marble Falls, RACHEL FAEHNLE / Cristi Reyes,CC,Non-Varsity ,2019,144274,3,3,4,3,2,2,2,2, , On the Move March (White), Summit Fanfare  (Owens), Ming Court  (Pitter)
14, 100-Concert Band, Running Brushy Middle School, TEA:, Cedar Park, Evelyn Binkard,CCC,Sub Non-Varsity ,2019,141828,2,1,2,2,1,1,1,1,2, Egyptique  (Owens), Big Sky Round-Up  (Sheldon), Manhattan Beach  (Sousa/Story)
15, 100-Concert Band, Stiles MS, TEA:, Leander, Alex Ortega,CCC,Sub Non-Varsity ,2019,141527,1,1,1,1,1,1,1,1,D, March to Buckingham Palace (Rogers), Danza de Espana  (Chambers), Japanese Pictures  (Mixon)
16, 100-Concert Band, West Ridge Middle School, TEA:, Austin, Alanna Tate,CC,Non-Varsity ,2019,140711,1,1,1,1,2,1,1,1,D, Pivot Man March (Larry Clark), Black Forest Overture  (Sweeney), Spirit of an Eagle  (Clark)
17, 100-Concert Band, West Ridge Middle School, TEA:, Austin, Susan Glover,CC,Sub Non-Varsity ,2019,140257,1,1,2,1,1,1,1,1,D, Command March (Edmondson), Big Sky Round-Up  (Sheldon), Egyptique  (Owens)
18, 100-Concert Band, West Ridge Middle School, TEA:, Austin, Susan Glover,CC,Varsity ,2019,140256,1,1,1,1,1,1,1,1,C, Circus Days (King/Schissel), A Walk in the Morning Sun  (La Plante), The Old Red Mill  (Karrick)
19, 100-Concert Band, Wiley MS, TEA:, Leander," Cristina Barrera / Taylor Williamson, Serena Finnigan",CCC,Sub Non-Varsity ,2019,141617,3,2,2,2,2,2,1,2, , Distant Horizons  (Sweeney), Dance Celebration  (Smith), Infinity (Concert March) (Curnow)
20, 100-Concert Band, Wiley MS, TEA:, Leander," Serena Finnigan / Taylor Williamson,Cristina Barrera",CCC,Non-Varsity ,2019,141616,1,1,1,1,1,1,1,1,D, Colliding Visions  (Balmages), Japanese Pictures  (Mixon), March Zuma (John O'Reilly)
