,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Benold Middle School, TEA:, Georgetown, Kristina Certain,CC,Non-Varsity ,2012,68911,2,2,2,2,1,1,2,1,2, Fortis  (Gazlay), Big Sky Round-Up  (Sheldon), Plaza de Toros (Story)
1, 100-Concert Band, C.D. Fulkes Middle School, TEA:, Round Rock, Megan Wike / Jon McPhail,CC,Non-Varsity A,2012,69003,2,2,2,2,2,1,1,1,2, Soldiers' Processsion and Sword Dance  (Margolis/ ), Little Brazil Suite (Balent/ ), Golden Eagle March (Edmondson)
2, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Carter Matschek,CC,Non-Varsity ,2012,68848,1,1,1,1,1,1,1,1,D, Espana Cani (Narro/Story), Broken Bow  (Strommen/ ), Joy  (Ticheli/ )
3, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Stephanie Lee,CC,Sub Non-Varsity ,2012,68851,2,1,1,1,1,1,1,1,D, March on a King's Highway (La Plante), Elizabethan Dance  (Williams/ ), Uskudar  (Anon. or Trad./Smith/Story)
4, 100-Concert Band, Canyon Vista Middle School, TEA:, Austin, Mollie Ward,CCC,Non-Varsity ,2012,69013,1,2,1,1,1,1,1,1,D, Newcastle March (Vinson), Appalachian Morning  (Sheldon), Sparks  (Balmages)
5, 100-Concert Band, Canyon Vista MS, TEA:, Austin, Brigette Parsons,CCC,Sub Non-Varsity A,2012,69015,1,2,1,1,1,1,1,1,D, Brandy Station March (John Edmonson), Big Sky Round-Up (Robert Sheldon), Mythos (Chris Bernotas)
6, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, Britni Dunn,CCC,Sub Non-Varsity ,2012,68867,1,1,1,1,1,1,1,1,D, Yorktown March (John Edmondson), Uskudar  (Anon. or Trad./Smith/Story), Little Brazil Suite  (Balent/ )
7, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, David Barnes,CCC,Non-Varsity ,2012,68909,1,1,1,1,1,1,1,1,D, Rudimentary March (Gary Fagan), Kenya Contrasts  (Himes/ ), Two British Folk Songs  (Anon. or Trad./Del Borgo)
8, 100-Concert Band, Cedar Valley Middle School, TEA:, Austin, Ronnie Pruitt,CCC,Non-Varsity ,2012,68661,2,2,3,2,1,1,1,1,2, Joy  (Ticheli/ ), Spring Song  (Nowak/ )," Cluster, Fluster, Buster March (Holsinger)"
9, 100-Concert Band, Chisholm Trail Middle School, TEA:, Round Rock, Jared Adams,CCC,Non-Varsity ,2012,69053,1,2,1,1,1,1,1,1,D, Honor March (Feldstein/Clark), Big Sky Round-Up  (Sheldon/ ), Fortis  (Gazlay/ )
10, 100-Concert Band, Decker Middle School, TEA:, Austin, Jesus Ibarra / Andy Earp,CC,Non-Varsity ,2012,69849,3,3,3,3,3,1,2,2, , Phantom Ship  (Del Borgo/ ), Two Minute Symphony (Margolis/ ), Newcastle March (Vinson)
11, 100-Concert Band, Deerpark Middle School, TEA:, Austin, Jenna Yee,CCC,Non-Varsity ,2012,69134,1,2,2,2,1,1,1,1,2, Irish Air and Dance  (Story/ ), Tricycle  (Boysen/ ), Omaha Beach March (Edmondson)
12, 100-Concert Band, Farley Middle School, TEA:, Hutto, Christy Anderson / Sean Smith,CC,Sub Non-Varsity ,2012,69146,2,2,2,2,1,2,2,2, , Lydia Mendoza (Roel Flores), Serengeti Dreams  (Smith/ ), Mythos  (Bernotas/ )
13, 100-Concert Band, Farley Middle School, TEA:, Hutto, Christy Anderson / Sean Smith,CC,Non-Varsity ,2012,69140,2,2,2,2,1,1,1,1,2, New South Wales March (John Edmondson), As Twilight Falls  (Sheldon/ ), Adrenaline Engines  (Standridge/ )
14, 100-Concert Band, Forbes Middle School, TEA:, Georgetown, Lauren Esparza / Jackie Fullerton,CC,Non-Varsity ,2012,68953,2,2,2,2,2,2,1,2, , Fortis (Gary Gazlay), Little Brazil Suite (Andrew Balent), Spitfire (Michael Story)
15, 100-Concert Band, Four Points Middle School, TEA:, Austin, Jessica Gonzales,CC,Non-Varsity ,2012,68962,1,2,1,1,1,1,1,1,D, Band in the Square on the Fourth of July (La Plante), Uskudar  (Anon. or Trad./Smith/Story), Atlantis  (McGinty/ )
16, 100-Concert Band, Grisham Middle School, TEA:, Austin, Jane Janda,CC,Non-Varsity A,2012,68763,1,1,1,1,1,1,1,1,D, Norland March (John Edmondson), Pevensey Castle  (Sheldon/ ), Sea Song Trilogy  (McGinty/ )
17, 100-Concert Band, Henry Middle School, TEA:, Cedar Park, Rachel Lynn,CCC,Sub Non-Varsity ,2012,68899,1,1,1,1,1,1,1,1,D, Forward March (Paul Murtha), Egyptique (William Owens), Big Sky Round-Up  (Sheldon/ )
18, 100-Concert Band, Henry Middle School, TEA:, Cedar Park, Ryan Straten,CCC,Non-Varsity ,2012,68950,1,1,1,1,1,1,1,1,D, Espana Cani (Pascual Marquina Narro), Colliding Visions (Balmages/ ), Irish Air and Dance  (Story/ )
19, 100-Concert Band, Hernandez Middle School, TEA:, Round Rock, Becky Behning,CC,Non-Varsity ,2012,68972,3,3,3,3,2,2,2,2, , Phantom Ship  (Del Borgo/ ),  Valley Forge March (Edmondson), Wildwind Overture  (Kinyon/ )
20, 100-Concert Band, Hopewell Middle School, TEA:, Round Rock, Kevin Crawford / Bruce Bray,CC,Non-Varsity ,2012,68835,2,3,2,2,2,1,2,2, , The Prince of Denmark's March (Clarke/Phillips), In The Bleak Midwinter  (Holst/Bullock), Journey Down Niagara  (Tucker/ )
21, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Josh Mello,CC,Non-Varsity ,2012,68999,2,3,2,2,1,2,1,1,2, Pride of the Regiment (Seward), While I Watch the Yellow Wheat  (Daehn/ ), Sea Song Trilogy  (McGinty/ )
22, 100-Concert Band, Hutto Middle School, TEA:, Hutto, Brent Acuff,CC,Non-Varsity ,2012,69344,2,2,2,2,1,2,1,1,2, Majestic March (Paul Lavender), Courtlandt County Festival  (Owens/ ), Ming Court  (Pitter/ )
23, 100-Concert Band, Lake Travis MS, TEA:, Austin, Kevin Jedele,CC,Non-Varsity ,2012,69128,1,1,1,1,1,1,1,1,D, Cross Winds March (James Swearingen), Scarborough Fair  (Moss/ ), Uskudar  (Anon. or Trad./Smith/Story)
24, 100-Concert Band, Leander Middle School, TEA:, Leander, Kimberly Beene / Cathy Teltschik/Andrew Straight,CC,Non-Varsity ,2012,68646,1,2,1,1,1,1,1,1,D, Espana Cani (Pascual Marquina Narro/Story), Elizabethan Dance (Williams), Fire Dance (Akey)
25, 100-Concert Band, Manor Middle School, TEA:, Manor, Michele Lang,CC,Non-Varsity ,2012,69980,4,3,3,3,2,3,3,3, , Crown of Glory (Smith/), Little Brazil Suite  ( Balent/ ), Fire Dance  (Akey/)
26, 100-Concert Band, Ridgeview Middle School, TEA:, Round Rock, Ashley Rhea,CCC,Sub Non-Varsity ,2012,69885,3,2,2,2,2,2,2,2, , Golden Eagle March (John Edmonson), Courtlandt County Festival  (Owens/ ), A New World Adventure  (Court/ )
27, 100-Concert Band, Ridgeview Middle School, TEA:, Round Rock, James McCrury,CCC,Non-Varsity ,2012,69065,3,3,3,3,3,2,3,3, , El Conquistador (Owens/Williams), Distant Horizons  (Sweeney/ ), Fire Dance  (Akey/ )
28, 100-Concert Band, Running Brushy Middle School, TEA:, Cedar Park, Erin Knight,CCC,Sub Non-Varsity ,2012,68974,2,2,1,2,1,1,2,1,2, Lexington March (Edmondson), Dance Celebration  (Smith/ ), Sea Song Trilogy  (McGinty/ )
29, 100-Concert Band, Running Brushy Middle School, TEA:, Cedar Park, Van Robison,CCC,Non-Varsity ,2012,68898,1,1,1,1,1,1,1,1,D, March of the Irish Guard (Ployhar), Cascadia Celebration  (Hodges/ ), La Volta  (Byrd/Fenske)
30, 100-Concert Band, Tippit Middle School, TEA:, Georegtown, Michael Pierce,CC,Non-Varsity ,2012,68984,2,3,3,3,3,2,2,2, , March Fantastique (John Kinyon), Pinnacle  (Grice/ ), Voodoo Dance  (Del Borgo/ )
31, 100-Concert Band, Walsh Middle School, TEA:, Round Rock, Travis Barney / Russell Jones,CCC,Non-Varsity ,2012,68988,2,1,1,1,1,1,1,1,D, Cedar Canyon Round Up  (Williams/ ), Kenya Contrasts  (Himes/ ), Winchester March (Edmondson)
32, 100-Concert Band, Wiley Middle School, TEA:, Leander," Garland Chiasson / Karen Kachelmeier, Art Jimenez",CCC,Non-Varsity ,2012,68977,1,1,1,1,1,1,1,1,D, Crosswinds March (Swearingen), As Twilight Falls (Sheldon), Knights of Dunvegan (Meyer)
33, 100-Concert Band, Wiley Middle School, TEA:, Leander," Karen Kachelmeier / Garland Chiasson, Jennifer Arnold",CCC,Sub Non-Varsity A,2012,68978,2,2,2,2,1,1,1,1,2, Ming Court  (Pitter/ ), Sea Song Trilogy  (McGinty/ ), Knightsbridge March (Pearson)
