,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Clark High School, TEA:, Plano, Laura Lewis-Sturch / Michael Scott,AAAAAA,Sub Non-Varsity B,2020,160739, , , , , , , , , , Bay Shore Park (Compello), The Steppes of Russia (659)  (Del Borgo), Little Suite for Band (19471) (play all) (Standridge)
1, 100-Concert Band, Clark High School, TEA:, Plano, Laura Lewis-Sturch / Michael Scott,AAAAAA,Non-Varsity ,2020,160737, , , , , , , , , , Arsenal (Van Der Roost), Variations on a Theme of Robert Schumann (529)  (Jager), A la Machaut (20788)  (Boss)
2, 100-Concert Band, Clark High School, TEA:, Plano, Michael Scott / Laura Lewis - Sturch,AAAAAA,Sub Non-Varsity A,2020,161103, , , , , , , , , , La Pequena Marcha Espanola (Oldencott), Appalachian Morning (17446)  (Sheldon), Undertow (17456)  (Mackey)
3, 100-Concert Band, Jasper High School, TEA:, Plano, Elyse Lim / Kyle Johnson,AAAAAA,Sub Non-Varsity B,2020,160398, , , , , , , , , , Eagle Squadron March (Alford / Rogers), On a Hymnsong of Philip Bliss (Holsinger), Shine (Markowski)
4, 100-Concert Band, Jasper High School, TEA:, Plano, Elyse Lim / Kyle Johnson,AAAAAA,Non-Varsity ,2020,160396, , , , , , , , , , March from Symphonic Metamorphosis (Hindemith / Wilson), A Movement for Rosa (Camphouse), Quartets (Cichy)
5, 100-Concert Band, Jasper High School, TEA:, Plano, Kyle Johnson / Elyse Lim,AAAAAA,Sub Non-Varsity A,2020,160395, , , , , , , , , , The White Rose March (Sousa/Brion), Mock Morris (354)  (Grainger/Simpson/MMP/Kreines/Lud/Perna), Red Rock Mountain (20604)  (Galante)
6, 100-Concert Band, Little Elm High School, TEA:, Little Elm, Frank Felice / Maxwell Atkinson & Matt Neal,AAAAA,Varsity ,2020,153816, , , , , , , , , , March of the Princesses (Massenet / Junkin), Be Thou My Vision (710)  (Gillingham), Balkanya (607)  (Van der Roost)
7, 100-Concert Band, Little Elm High School, TEA:, Little Elm, Maxwell Atkinson / Frank Felice & Matt Neal,AAAAA,Non-Varsity ,2020,155189, , , , , , , , , , Desert Storm (March) (Ken C. Wood), Kentucky 1800 (29)  (Grundman), Shine (18206)  (Markowski)
8, 100-Concert Band, McMillen High School, TEA:, Murphy, Josh Kurzweil,AAAAAA,Non-Varsity ,2020,157340, , , , , , , , , , Children of the Regiment (Fucik/Bourgeois), Be Thou My Vision (Gillingham), Suite on Greek Love Songs (van Lijnschooten)
9, 100-Concert Band, McMillen High School, TEA:, Murphy, Lindsay Barnhill,AAAAAA,Sub Non-Varsity ,2020,158011, , , , , , , , , , La Fiesta Brava (Edmondson), We May Rise (must use piano) (Hagenberg/Hazzard), Butterfly s Ball (Fraley)
10, 100-Concert Band, Plano East Senior High, TEA:, Plano, Evelio Villarreal,AAAAAA,Sub Non-Varsity A,2020,160668, , , , , , , , , , The Directorate (Sousa), Pageant (Persichetti), Viva! (Wilds)
11, 100-Concert Band, Plano West High School, TEA:, Plano," Justin Myers / Jackie Digby, Preston Pierce",AAAAAA,Sub Non-Varsity ,2020,159773, , , , , , , , , , A Tribute to Grainger (711) (play all) (Grainger/Ragsdale), Homage to Bharat (Reflections of India) (21580)  (Balmages)," English Folk Song Suite - March No. 1 ""Seventeen Come Sunday"" (Vaughn Williams)"
12, 100-Concert Band, Plano West Senior High, TEA:, Plano," Jackie Digby / Preston Pierce, Justin Myers",AAAAAA,Varsity ,2020,159755, , , , , , , , , , The Glory of the Yankee Navy (Sousa/Fennell), Symphony in Bb for Band (Hindemith), Masque (Hesketh)
13, 100-Concert Band, Plano West Senior High, TEA:, Plano," Preston Pierce / Jackie Digby, Justin Myers",AAAAAA,Non-Varsity ,2020,159777, , , , , , , , , , Joyce's 71st N.Y. Regiment March (Boyer/Barnes ), Molly On The Shore (Grainger), Fiesta Del Pacifico (Nixon)
14, 100-Concert Band, Propser High School, TEA:, Prosper," Spencer Smith / Brandon Holt, Aaron Renzenbrink, Michael Huestis",AAAAA,Sub Non-Varsity ,2020,161237, , , , , , , , , , A Longford Legend (272) (play two mvts) (Sheldon), The Old Red Mill (17549)  (Karrick), Aces of the Air (March) (Karl King arr. Swearingen)
15, 100-Concert Band, Prosper High School, TEA:, Prosper," Aaron Renzenbrink / Brandon Holt, Spencer Smith, Michael Huestis",AAAAAA,Non-Varsity ,2020,160593, , , , , , , , , , Homeward Bound March (Sousa), Down Longford Way (220)  (Grainger/Osmon), Wild Nights (17470)  (Ticheli)
16, 100-Concert Band, Prosper High School, TEA:, Prosper, Brandon Holt / Aaron Renzenbrink; Spencer Smith; Michael Huestis,AAAAAA,Varsity ,2020,159644, , , , , , , , , , March To The Scaffold (725)  (Berlioz/Rogers/Patterson), Colonial Song (499)  (Grainger), Traveler (19577)  (Maslanka)
17, 100-Concert Band, Vines High School, TEA:, Plano," Jonathan Cao / Chris Martin, Tex Bosley, Jose Leanos",AAAAAA,Non-Varsity ,2020,156313, , , , , , , , , , Marche Des Parachutistes Belges (March of the Belgian Paratroopers) (Pierre Leemans/arr. Wiley), Glaciers (17564)  (Director), Seis Manuel from Islas y Montanas (15844)  (Hanson)
18, 100-Concert Band, Williams High School, TEA:, Plano, Eric Petrinowitsch / Jacob Kennedy,AAAAAA,Non-Varsity ,2020,161159, , , , , , , , , , Scossa Elettrica (Puccini/Oliver), Spoon River (Grainger/Sheldon), Shine (Markowski)
19, 100-Concert Band, Williams High School, TEA:, Plano, Jacob Kennedy / Eric Petrinowitsch,AAAAAA,Sub Non-Varsity A,2020,160415, , , , , , , , , , Fantasy on an Early American Marching Tune (Sheldon), Hypnotic Fireflies (Balmages), Newcastle March (Vinson)
