,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Ann Richards Middle School, TEA:, Austin, Amanda Elizondo / Stephen Howard,CC,Varsity ,2017,119215,2,1,1,1,1,1,1,1,C, Cape Breton March (O'Reilly), Danza de Espana  (Chambers/ ), New Horizons  (Corrigan/ )
1, 100-Concert Band, Bedichek Middle School, TEA:, Austin," Jeff Owen / Rachel Butler, Jeff Ofner",CC,Varsity ,2017,119411,2,2,2,2,1,2,2,2, , Serengeti Dreams  (Smith/ ), Journey Down Niagara  (Tucker/ ), Activity March  (Bennett/Clark)
2, 100-Concert Band, Bedichek Middle School, TEA:, Austin," Rachel Butler / Jeff Owen, Jeff Ofner",CC,Non-Varsity ,2017,119500,2,2,1,2,1,2,2,2, , Fortis  (Gazlay/ ), Dance Celebration  (Smith/ ), Infinity March (Curnow)
3, 100-Concert Band, Burnet Middle School, TEA:, Austin TX," Jackson Hisatake / Alex Sabzkooh, Anne Leo",CCC,Sub Non-Varsity ,2017,120400,3,3,2,3,3,3,3,3, , Infinity March (Curnow), Theme and Variations (Broege), Ming Court (Pitter)
4, 100-Concert Band, Burnet Middle School, TEA:, Austin," Alex Sabzkooh / Anne Leo, Jackson Hisatake",CCC,Non-Varsity ,2017,120267,2,1,1,1,2,1,2,2,2, Fortitude (Owens), Atlantis (McGinty/ ), Fortis (Gazlay/ )
5, 100-Concert Band, Burnet Middle School, TEA:," Austin, TX"," Anne Leo / Alex Sabzkooh, Jackson Hisatake",CCC,Varsity ,2017,120250,1,2,1,1,2,1,3,2,2, Thunder Bay March (John O'Reilly), Joy (Ticheli), Japanese Pictures (Mixon)
6, 100-Concert Band, Clint Small MS, TEA:, Austin, Alan DeVall,CCC,Sub Non-Varsity ,2017,119345,2,2,1,2,2,2,2,2, , Kitty Hawk March (Edmondson), Uskudar  (Anon. or Trad./Smith/Story), Atlantis  (McGinty/ )
7, 100-Concert Band, Clint Small MS, TEA:, Austin, Suzanne Glaser,CCC,Non-Varsity ,2017,119342,1,1,1,1,1,1,1,1,D, Aquia Landing (Gateway to Freedom March) (Murtha/), Russian Sailor's Dance  (Gliere/Williams), Joy  (Ticheli/ )
8, 100-Concert Band, Clint Small MS, TEA:, Austin, Tonia Mathews,CCC,Varsity ,2017,119343,1,1,1,1,1,1,1,1,C, Amina (Spanish March) (Paul Lincke/Arr. Geisler), Deir in De  (Anon. or Trad./Barker), Summer Resounding  (Balmages/ )
9, 100-Concert Band, Dobie Middle School, TEA:, Austin, Javier Ayala / Neil Hilton,CC,Varsity ,2017,119005,3,4,4,4,3,4,4,4, , Darklands March (Randall D. Standridge), Ghost Ship  (Story/ ), The Steppes of Russia  (Del Borgo/ )
10, 100-Concert Band, Dobie Middle School, TEA:, Austin, Neil Hilton / Javier Ayala,CC,Non-Varsity ,2017,120391,4,3,3,3,3,4,3,3, , Spitfire (Michael Story), Atlantis  (McGinty/ ), Little Brazil Suite  (Balent/ )
11, 100-Concert Band, Fulmore Middle School, TEA:, Austin, Beverly Michelson,CC,Non-Varsity ,2017,120933,1,2,1,1,2,2,2,2,2, Fighting Falcon March (Stalter), Serengeti Dreams  (Smith/ ), Conviction  (Clark/ )
12, 100-Concert Band, Fulmore Middle School, TEA:, Austin, Patrick Kennedy,CC,Varsity ,2017,120932,1,1,1,1,2,1,1,1,C, The Big Circus March (Foster), Shenandoah  (Anon. or Trad./Smith/Story), A Sailor's Odyssey  (Bobrowitz/ )
13, 100-Concert Band, Gorzycki Middle School, TEA:, Austin, Herson De La Garza,CCC,Sub Non-Varsity ,2017,119378,1,1,1,1,2,1,1,1,D, Atlantis  (McGinty/ ), Elizabethan Dance  (Williams/ ), March for a Festival (Edmondson)
14, 100-Concert Band, Gorzycki Middle School, TEA:, Austin, Mandi McCasland,CCC,Varsity ,2017,120131,1,1,1,1,1,1,1,1,C, Prestissimo (King/Swearingen), Dublin Dances (Jan Van der Roost), Choreography (Robert Sheldon)
15, 100-Concert Band, Gorzycki Middle School, TEA:, Austin, Nick Tieh,CCC,Non-Varsity ,2017,118935,1,1,1,1,1,1,1,1,D, Winchester March (Edmondson), Armory  (Standridge/ ), Egyptique  (Owens/ )
16, 100-Concert Band, Gus Garcia YMLA, TEA:, Austin, Melissa Smith / Rodolfo Castro,CC,Non-Varsity ,2017,120127,2,2,2,2,2,2,2,2, , Loyalty (Larry Clark), Sakura (Mike Story), Fortis (Gary Gazlay)
17, 100-Concert Band, Kealing Middle School, TEA:, Austin, Claire Trowbridge,CCC,Sub Non-Varsity ,2017,120117,1,1,1,1,1,1,1,1,D, Synergy March (Owens), Theme and Variations  (Broege/ ), Dance Celebration  (Smith/ )
18, 100-Concert Band, Kealing Middle School, TEA:, Austin, David Hinojosa,CCC,Non-Varsity ,2017,119256,1,1,1,1,1,1,1,1,D, The Band in the Square on the Fourth of July  (LaPlante/ ), Cascadia Celebration  (Hodges/ ), Japanese Pictures  (Mixon/ )
19, 100-Concert Band, Kealing Middle School, TEA:, Austin, Sara Robison,CCC,Varsity ,2017,119634,1,1,1,1,1,1,1,1,C, March of the Trolls (Edvard/Grieg), La Madre de los Gatos  (Beck/ ), Lightning Field  (Mackey/ )
20, 100-Concert Band, Lamar Middle School, TEA:, Austin, James Hairston,CCC,Varsity ,2017,117915,1,1,1,1,1,1,1,1,C, Circus Days (King/Schissel), Heaven's Light  (Reineke/ ), Symphonic Dance No. 3 (Fiesta)  (Williams/ )
21, 100-Concert Band, Lamar Middle School, TEA:, Austin, Raul Escobedo,CCC,Non-Varsity ,2017,119043,1,1,1,1,1,1,1,1,D, Fortis  (Gazlay/ ), Colliding Visions  (Balmages/ ), The Band in the Square on the Fourth of July  (LaPlante/ )
22, 100-Concert Band, Martin Middle School, TEA:, Austin, Corilyn Urquhart,CC,Varsity ,2017,119428,1,1,1,1,2,2,2,2,2, Uskudar  (Anon. or Trad./Smith/Story), Colliding Visions  (Balmages/ ), Newcastle March (Johnny Vinson)
