,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Bear Branch Junior High, TEA: 170906042, Magnolia," LAUREN KYLBERG / Kevin Brewer, Susan Daniell",CCC,Non-Varsity ,2022,173734,1,2,2,2,1,1,1,1,2, Captain Dane  (William Owens), Danza de Espana (19602)  (Chambers), Pinnacle (638)  (Grice)
1, 100-Concert Band, Bear Branch Junior High, TEA: 170906042, Magnolia," Susan Daniell / Kevin Brewer, Lauren Kylberg, Anthony Jackson",CCC,Sub Non-Varsity ,2022,173700,2,1,2,2,1,2,1,1,2," ""Synergy"" March (William Owens)", Dance Celebration (647)  (Smith), Plaza de Toros (20709)  (Story)
2, 100-Concert Band, Brabham Middle School, TEA: 170904043, Willis, Elizabeth Pineiro / Elizabeth Allison,CCC,Non-Varsity A,2022,174264,2,1,1,1,1,1,1,1,D, Union March (Rogers), Summit Fanfare (17493) (Owens), Night Fury (20593) (Chambers)
3, 100-Concert Band, Cleveland Middle School, TEA: 146901041, Cleveland," Cynthia Resendez / Alicia Diosdado, Jocelyn Cummons, Jose Castro, Aaron Porter",CCC,Sub Non-Varsity B,2022,174338,2,2,2,2,2,2,2,2, , Bell Canyon March (John O'Reilly), Dance Celebration (Robert W. Smith), Dorian Chant (Bill Calhoun)
4, 100-Concert Band, Cleveland Middle School, TEA: 146901041, Cleveland," Jocelyn Cummons / Alicia Diosdado, Jose Castro, Cynthia Resendiz, Aaron Porter",CCC,Non-Varsity ,2022,174337,1,1,1,1,2,2,1,2,2," All for One, One for All (Carol Brittin Chambers)", Plaza de Toros  (Michael Story), New Horizons  (Bruce Corrigan )
5, 100-Concert Band, Cleveland Middle School, TEA: 146901041, Cleveland," Jose Castro / Alicia Diosdado, Jocelyn Cummons, Cynthia Resendez, and Aaron Porter",CCC,Sub Non-Varsity A,2022,174331,1,1,1,1,1,1,1,1,D, Spitfire (Michael Story), Summit Fanfare (William Owens), Fortis (Fary Gazlay)
6, 100-Concert Band, Doerre Intermediate, TEA: 101915046, Spring, Emmy Ramos / Matt Fehl,CCC,Non-Varsity A,2022,174130,1,1,1,1,1,1,1,1,D, Captain Dane March (William Owens), Cascadia Celebration (641) (Hodges/), Sea Song Trilogy (48) (McGinty/)
7, 100-Concert Band, Grand Lakes Junior High School, TEA: 101921045, Tomball, Austin de la Rua,CCC,Non-Varsity ,2022,174181,1,1,1,1,1,1,1,1,D, Lexington March (Edmondson), Pinnacle (638)  (Grice), Lions Gate (22318)  (Sheldon)
8, 100-Concert Band, Hofius Intermediate, TEA: 101915050, Klein, Paige Liccioni / Jennifer Wren,CCC,Non-Varsity A,2022,173862,1,1,1,1,1,1,1,1,D, March Zuma (John O''Reilly), Danza de Espana (19602) (Chambers/), Heroes Triumphant (18463) (Owens/)
9, 100-Concert Band, Irons Junior High, TEA: 170902054, Conroe, Michael Dick / Morgan Gentry,CCC,Sub Non-Varsity ,2022,171959,1,1,1,1,1,1,1,1,D, Fortitude March (Owens), Sakura (62)  (Traditional/Story), Great Beginnings (24119)  (Kamuf)
