,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Atascocita Middle School, TEA:, Humble, Kayla Wood,CCC,Varsity ,2021,163291,1,1,1,1,1,1,1,1,C," Radetzky March (Johann Strauss, Sr./trans. Balent)", Into the Arctic (Balmages/), La Madre de los Gatos (Beck/)
1, 100-Concert Band, Kingwood MS, TEA:, Kingwood, Wade A Fennell / Rebecca May,CCC,Varsity ,2021,163534,1,1,1,1,1,1,1,1,C, Regal March (Bruce Pearson & Chuck Elledge), Spring Song  (Nowak), Fortis  (Gazlay)
2, 100-Concert Band, Timberwood Middle School, TEA:, Humble, Mark Wootton / Danielle Dewees,CCC,Varsity ,2021,163139,2,1,2,2,1,1,1,1,2, Flying Tigers March (David Shaffer), Fanfare for a New Age  (Story), Danza de Espana  (Chambers)
3, 100-Concert Band, Timberwood MS, TEA:, Humble, Danielle Dewees,CCC,Non-Varsity ,2021,162676,1,1,1,1,1,1,1,1,D, Spitfire (Story), Elizabethan Dance  (Williams), Zig Zag  (O'Loughlin)
4, 100-Concert Band, Woodcreek Middle School, TEA:, Houston, Carrie Hitt,CCC,Varsity ,2021,162871,1,1,2,1,1,1,1,1,C, American Legion March (Andrew Glover), A Joyful Journey (Sheldon/), Blue Ridge Reel (Balmages/)
5, 100-Concert Band, Woodcreek Middle School, TEA:, Houston, Chad Allen,CCC,Non-Varsity C,2021,163576,1,1,1,1,1,1,1,1,D, Royal March (John Kinyon), Wolseys Wilde (Byrd/McGinty), Dance Celebration (Smith/)
