,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Cedar Park High School, TEA:, Cedar Park, Steve Wessels,AAAA,Varsity ,2013,81601,1,1,1,1,1,1,1,1,A, Who's Who In Navy Blue (John Plilip Sousa / Frank Byrne), Gazebo Dances (John Corigliano), Circus Overture (William Schuman / Don Owen)
1, 100-Concert Band, Cedar Ridge High School, TEA:, Round Rock, Mark Calima,AAAAA,Varsity ,2013,78000,2,1,1,1,1,1,1,1,A, Symphony for Band  (Persichetti/ ), Colonial Song  (Grainger/ ), Navigation Inn Concert March (Philip Sparke)
2, 100-Concert Band, East View High School, TEA:, Georgetown, Amy Frost / Emily Tannert,AAAA,Varsity ,2013,78045,2,1,2,2,2,3,2,2, , Entry March of the Boyars (Halvorsen/Fennell), Fantasia for Band (Giannini), Pentium - Overture for Band (Graham)
3, 100-Concert Band, Elgin High School, TEA:, Elgin," Rodney Parker / Armando Martinez, Jillian Baaklini",AAAA,Varsity ,2013,81671,1,1,1,1,1,1,1,1,B, The Dam Busters (Coates/Wagner), English Country Settings  (La Plante/ ), Undertow  (Mackey/ )
4, 100-Concert Band, Georgetown High School, TEA:, Georgetown, Cliff Croomes,AAAA,Varsity ,2013,81340,1,1,1,1,1,1,1,1,A, The Pride of the Wolverines (Sousa/Fennell), Festivo  (Gregson/ ), Variations on a Theme of Robert Schumann  (Jager/ )
5, 100-Concert Band, Hutto High School, TEA:, Hutto, Stacy Gist / Lanny Huddleston,AAAA,Varsity ,2013,83038,1,2,2,2,1,2,1,1,1, Seis Manuel from Islas y Montanas  (Hanson/ ), Fantasy on a Japanese Folk Song  (Hazo/ ), The Trombone King March (King/Paynter)
6, 100-Concert Band, Lake Travis High School, TEA:, Austin, Kenny Vise,AAAAA,Varsity ,2013,84859, , , , , , , , , , Sol Y Sombra (George Gates)," Thus Do You Fare, My Jesus  (Bach/Reed)", Noisy Wheels of Joy  (Whitacre/ )
7, 100-Concert Band, Lake Travis High School, TEA:, Austin, Steven Hopkins / Lance Brightwell,AAAAA,Varsity ,2013,86813,1,1,1,1,1,1,1,1,A, Sol Y Sombra (George Gates)," Thus Do You Fare, My Jesus  (Bach/Reed)", Noisy Wheels of Joy  (Whitacre/ )
8, 100-Concert Band, Lake Travis High School, TEA:, Austin, Steven Hopkins / Lance Brightwell,AAAAA,Varsity ,2013,86812, , , , , , , , , , Sol Y Sombra (George Gates)," Thus Do You Fare, My Jesus  (Bach/Reed)",  ()
9, 100-Concert Band, Leander High School, TEA:, Leander, Nils Gundersen,AAAA,Varsity ,2013,82056,1,1,1,1,1,1,1,1,A, The Glory of the Yankee Navy (Sousa/Fennell)," Symphonic Metamorphosis (play at least two mvts) (March available for sale, other mvts are rental only) (Hindemith/Wilson)", Handel in the Strand  (Grainger/Goldman)
10, 100-Concert Band, Marble Falls High School, TEA:, Marble Falls, Brad Behrens,AAAA,Varsity ,2013,81319,2,2,2,2,2,2,2,2, , Gallant Marines (King/Swearingen), Fantasy on a Theme by Samual Barber  (Barber/Saucedo), Glaciers  (Director/ )
11, 100-Concert Band, McNeil HS, TEA:, Austin, Travis Ancelet,AAAAA,Varsity ,2013,79252,1,1,1,1,1,1,1,1,A, The Chimes of Liberty  (Goldman/Schissel), A Hymn For The Lost And The Living (Ewazen), Overture to Colas Breugnon  (Kabalevsky/Hunsberger)
12, 100-Concert Band, Round Rock High School, TEA:, Round Rock, David Mobley,AAAAA,Varsity ,2013,79442,1,1,1,1,1,1,1,1,A, Entry March of the Boyars (Johan Halvorsen), Dream Journey Op. 99 (James Barnes), J'ai ete au bal (Donald Grantham)
13, 100-Concert Band, Rouse High School, TEA:, Leander," Lee Crochet / Art Jimenez, Brittany Brown, Jared Morgan",AAAA,Varsity ,2013,78858,1,1,1,1,1,1,1,1,A, Entry of the Gladiators (Fucik), Noisy Wheels of Joy  (Whitacre/ ), La Procession du Rocio  (Turina/Reed)
14, 100-Concert Band, Stony Point High School, TEA:, Round Rock, Brian Sedatole,AAAAA,Varsity ,2013,79407,2,2,2,2,1,1,1,1,1, Bravura (Duble/Edmondson), Chorale Prelude on a German Folk Tune  (Barnes/ ), Vesuvius  (Ticheli/ )
15, 100-Concert Band, Vandegrift High School, TEA:, Austin, Jeremy Spicer,AAAA,Varsity ,2013,81961,1,1,1,1,1,1,1,1,A, The Gallant Seventh (Sousa/Fennell), Laboring Songs  (Welcher/ ), Paris Sketches  (Ellerby/Reynish)
16, 100-Concert Band, Vista Ridge High School, TEA:, Cedar Park, Bryan Christian,AAAA,Varsity ,2013,82382,1,1,1,1,1,1,1,1,A, Rolling Thunder (Henry Fillmore/Fennell), Molly On The Shore  (Grainger/Rogers/SMC), Trittico  (Nelhybel/ )
17, 100-Concert Band, Westwood High School, TEA:, Austin, Jack Green,AAAAA,Varsity ,2013,79658,1,1,1,1,1,1,1,1,A, Invictus March (K.L. King), Morning Star  (Maslanka/ ), Symphony No. 3 for Band (play at least two mvts) (Giannini/ )
