,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Charlotte HS, TEA:, Charlotte, Ralph Unger,A,Varsity ,2006,19612,1,1,1,1,1,1,1,1,TRA, Symbol of Honor (Mesang/Hilliard), Crest of Nobility (Sheldon), Portrait of a Clown (Ticheli)
1, 100-Concert Band, Falls City HS, TEA:, Falls City, Steven Wolf,A,Varsity ,2006,19677,2,1,2,2,2,3,3,3, , The Lone Eagle March (John Edmonson), Liturgical Fanfare (Smith), Atlantis (McGinty)
2, 100-Concert Band, Jourdanton HS, TEA:, Jourdanton, Manuel Romo,AA,Varsity ,2006,19843,2,2,1,2,1,1,1,1,PLA, Valley Forge March (Karl L. King/James Swearingen), The Battle of Jericho (Spinney), Flight of Eagles (Del Borgo)
3, 100-Concert Band, Jourdanton JH Band, TEA:, Jourdanton, Kelsey J. Lien,C,Varsity ,2006,19991,1,1,1,1,1,1,1,1,TRC, Lexington March (Edmondson), Ballet of Spring (Ballet du Printemps) (O'Connor), Atlantis (McGinty)
4, 100-Concert Band, Karnes City HS, TEA:, Karnes City, Jonathan Campbell,AA,Varsity ,2006,19410,2,2,2,2,2,2,2,2, , Alamo (March) (King/Swearingen), Legend of Knife River (Bulla), Songs Of The Whalemen (Del Borgo)
5, 100-Concert Band, Karnes City MS, TEA:, Karnes City, Sherry Marshall,AA,Varsity ,2006,19402,2,1,2,2,2,3,3,3, , Stratosphere (Beckham), Chester (Billings/Tolmage/Staff Osterling/HL), On Navy Pier (John Moss)
6, 100-Concert Band, Kenedy ISD, TEA:, Kenedy, Bill Goodman,AA,Varsity ,2006,19766,3,4,3,3,3,2,2,2, , Soldiers' Procession and Sword Dance (Margolis), Crest of Nobility (Sheldon), Newcastle March (Vinson)
7, 100-Concert Band, La Vernia Junior High, TEA:, La Vernia, Wynn Sanchez,CC,Varsity ,2006,18924,2,2,1,2,3,3,2,3, , Atlantis (McGinty), Legend of Knife River (Bulla), Ocala March (John Kinyon)
8, 100-Concert Band, LaVernia HS, TEA:, LaVernia, Steve Giovanoni,AAA,Varsity ,2006,18925,1,1,1,1,1,1,1,1,TRA, Allied Honor (KIng/Swearingen), Polly Oliver (Root), English Folk Song Suite (play one mvt) Mvt. 3 (Vaughan Williams)
9, 100-Concert Band, Luling HS, TEA:, Luling, Coral Rios,AAA,Varsity ,2006,19310,2,1,1,1,1,1,1,1,TRB, Royal Brigade (Robert Wall), Dolce and Dance (Fagan), Variations (Hull)
