,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Brandeis High School, TEA:, San Antonio," David Suarez / Jesse Cuellar, Richard Herrera",AAAAA,Non-Varsity B,2014,91630,1,1,1,1,1,2,2,2,2, Fantasy on a Fiddle Tune  (LaPlante/ ), La Madre de los Gatos  (Beck/ ), Coast Guards March (King/Swearingen)
1, 100-Concert Band, Brandeis High School, TEA:, San Antonio," Richard Herrera / Jesse Cuellar, David Suarez",AAAAA,Non-Varsity C,2014,91293,1,2,1,1,1,1,1,1,C, Dona Nobis Pacem  (Sudduth/ ), In The Shining Of The Stars  (Sheldon/ ), Monterey March (LaPlante)
2, 100-Concert Band, Brandeis High School, TEA:, San Antonio," Richard Herrera / Jesse Cuellar, David Suarez",AAAAA,Varsity ,2014,91282,1,1,1,1,1,1,1,1,A, Finale (from Symphony No. 5)  (Shostakovich/Righter), Danzon No. 2  (Marquez/Nickel), The Stormchasers (Sheldon)
3, 100-Concert Band, Brandeis HS, TEA:, San Antonio," Jesse Cuellar / Richard Herrera, David Suarez",AAAAA,Non-Varsity A,2014,91629,1,1,1,1,1,1,1,1,C, Vesuvius  (Ticheli/ ), Steel  (Standridge/ ), E Pulribus Unum (Jewell/Glover)
4, 100-Concert Band, Del Rio High School, TEA:, Del Rio, Daniel White,Sub Non-Varsity ,2014,92973,1,1,1,1,1,2,1,1,C, Broken Bow  (Strommen/ ), Steel  (Standridge/ ), Bonds of Unity (King/Swearingen),
5, 100-Concert Band, Del Rio High School, TEA:, Del Rio, Ricardo Rios,AAAAA,Varsity ,2014,93039,1,1,1,1,1,1,1,1,B, Sleep  (Whitacre/ ), Pompeii  (Yagisawa/ ), Gerona (Lope/Weger)
6, 100-Concert Band, Del Rio High School, TEA:, Del Rio, Timothy Grange,AAAAA,Non-Varsity ,2014,92771,2,2,3,2,1,1,1,1,C, Don Hanna (paso doble) (Gabriel Musella), Joy Revisited  (Ticheli/ ), Shepherd's Hey  (Grainger/Rogers)
7, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, David M. Solis,AAAAA,Varsity ,2014,92977,1,1,1,1,1,1,1,1,A, Pepita Greus  (Pascual Perez Chovi/Weger), Chorale And Shaker Dance  (John P. Zdechlik), Tempered Steel  (Charles Rochester)
8, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, Korina,AAAAA,Sub Non-Varsity ,2014,92980,2,3,2,2,2,2,2,2, , Pulsar  (Eric Osterling), As Summer Was Just Beginning  (Larry D. Daehn), Under An Irish Sky  (Larry Neeck )
9, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, John A. Munoz,AAAAA,Non-Varsity ,2014,92978,1,2,1,1,1,1,1,1,C, March of the Womans Marines (Louis Saverino), Sleep (Eric Whitacre), English Country Settings (Pierre LaPlante)
