,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Bailey Middle School, TEA:, Spring, Nick Gonzales,CCC,Non-Varsity ,2009,50227,1,2,2,2,1,1,1,1,2, Mount Vernon March (Edmondson), Medieval Legend  (Story), Fire Dance  (Akey)
1, 100-Concert Band, Bailey Middle School, TEA:, Spring, Victor Flowers,CCC,Varsity ,2009,49977,1,1,1,1,1,1,1,1,C, Fantasy on Barbara Allen  (Allen), Shepherd's Hey  (Grainger/Rogers), Legacy march (Flowers)
2, 100-Concert Band, Bammel Middle School, TEA:, Houston, Ogechi Ukazu,CCC,Non-Varsity ,2009,50364,2,2,1,2,2,2,2,2, , Atlantis  (McGinty), Ballet of Spring (Ballet du printemps)  (O'Connor), Brandy Station March (Edmondson)
3, 100-Concert Band, Bammel Middle School, TEA:, Spring," Jeffery Knox / Jeffery Knox, Ogechi Ukazu",CCC,Varsity ,2009,49041,1,1,1,1,1,2,2,2,2, Call to Victory March (Karl King), In My Native Country (Grieg/ Karrick), Cumberland Cross (Strommen)
4, 100-Concert Band, Bear Branch Junior High, TEA:, Magnolia, John Winebrenner,CCC,Varsity ,2009,50024,2,3,2,2,1,2,2,2,2, Rough Riders (King), The Steppes of Russia  (Del Borgo), Journey Down Niagara  (Tucker)
5, 100-Concert Band, Brabham Middle School, TEA:, Willis, Jim Hill / Matt Martinez,CC,Varsity ,2009,48004,2,2,2,2,1,1,1,1,2, The Big Cage (K. L. King), Yorkshire Ballad  (Barnes), Fortress  (Ticheli)
6, 100-Concert Band, Claughton Middle School, TEA:, Houston, Chad Collins,CCC,Varsity ,2009,49293,1,1,1,1,1,1,1,1,C, Glorious America (K.L. King), Fantasy on a Theme by Samuel Barber  (Barber/Saucedo), Dona Nobis Pacem  (Sudduth)
7, 100-Concert Band, Claughton Middle School, TEA:, Houston, Tiffani Reynolds,CCC,Non-Varsity ,2009,49292,2,2,2,2,2,2,2,2, , Mount Rushmore March (Edmondson), Soldiers' Processsion and Sword Dance  (Margolis), Distant Horizons  (Sweeney)
8, 100-Concert Band, Cleveland Middle School, TEA:, Cleveland, Leonard Arnold / Kristie McCauley,CC,Varsity ,2009,48885,2,2,2,2,2,2,1,2, , March of the Irish Guard (Ployhar), Sea Song Trilogy (McGinty), Kenya Contrasts  (Himes)
9, 100-Concert Band, Doerre Intermediate, TEA:, Klein, Jennifer Prine / Matt Fehl and Susan Housen,CCC,Non-Varsity ,2009,46288,1,1,1,1,1,1,1,1,D, Spirit of New Orleans (Paul Murtha), Kenya Contrasts (William Himes), Phantom Ship (Elliot Del Borgo)
10, 100-Concert Band, Doerre Intermediate, TEA:, Klein," Matt Fehl / Jennifer Prine, and Susan Housen",CCC,Varsity ,2009,46290,1,1,1,1,1,1,1,1,C, Invercargill (Lithgow/Custer), Dancing at Stonehenge (Suter), A Longford Legend (Sheldon)
11, 100-Concert Band, Doerre Intermediate, TEA:, Klein, Susan Housen / Susan Housen,CCC,Sub Non-Varsity D,2009,50234,3,3,1,3,2,1,2,2, , Kitty Hawk March (Ed Huckeby), Sea Song Trilogy (Anne McGinty), 100-1-28656 (Vince Gassi)
12, 100-Concert Band, Dueitt Middle School, TEA:, Spring, Chris Lambrecht / Nicole Grafton,CC,Varsity ,2009,50304,1,1,1,1,1,2,2,2,2, El Alamein (John Edmondson), Fa Una Canzona  (Vecchi/Daehn), Joy  (Ticheli)
13, 100-Concert Band, Hildebrandt Intermediate, TEA:, Spring," Mary trum / Heather Lopez, Tony Yarbrough",CCC,Non-Varsity ,2009,48289,1,1,1,1,1,1,1,1,D, The Band in the Square (La Plante), While I Watch the Yellow Wheat  (Daehn), Catch The Wind  (Hannickel)
14, 100-Concert Band, Hildebrandt Intermediate, TEA:, Spring, Tony Yarbrough,CCC,Varsity ,2009,48284,1,1,1,1,1,1,1,1,C, March from Second Suite in F for Military Band  (Holst/Matthews), Lux Arumque  (Whitacre), Pablo!  (Meyer)
15, 100-Concert Band, Huffman Middle School, TEA:, Huffman," Mark Weldon / Brent Stewart, Raymond Campbell",CC,Varsity ,2009,48677,2,2,3,2,3,2,3,3, , Twin Cities March (Edmondson), Portrait of a Clown  (Ticheli), Serengeti Dreams  (Smith)
16, 100-Concert Band, Kleb Intermediate, TEA:, , Curt Hentrich,CCC,Varsity ,2009,47507,1,1,2,1,1,1,1,1,C, Algeria March (King), Contrasto Grosso (play any two mvts) (de Haan), Dona Nobis Pacem  (Sudduth)
17, 100-Concert Band, Klein Intermediate, TEA:, Houston, Mike Rogers / Chase DeBord,CCC,Varsity ,2009,48872,3,2,2,2,2,2,2,2, , Normandy Beach (Edmondson), Contempo  (Story), Joy  (Ticheli)
18, 100-Concert Band, Knox Junior High School, TEA:, The Woodlands, Jason Robb,CCC,Non-Varsity ,2009,45389,2,1,1,1,1,1,1,1,D, Colonel Bogey March (Arr. Osterling), Canterbury Walk  (Strommen), Two British Folk Songs  (Anon. or Trad./Del Borgo)
19, 100-Concert Band, Knox Junior High School, TEA:, The Woodlands, jennifer dillard,CCC,Sub Non-Varsity ,2009,49720,1,1,1,1,1,1,1,1,D, Brandy Station March (John Edmondson), Sakura  (Story), Courtlandt County Festival  (Owens)
