,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Berkner High School, TEA:, Richardson, Christian Guillen / Christian Guillen/Christopher Bronson,AAAAAA,Sub Non-Varsity A,2018,138797,1,1,1,1,2,2,2,2,2, Chanteys  (Sheldon), Lightning Field  (Mackey), The Home Town Boy March (King/Swearingen)
1, 100-Concert Band, Berkner High School, TEA:, Richardson, Christopher Bronson,AAAAAA,Non-Varsity ,2018,138792,1,1,1,1,1,1,1,1,C, Four Scottish Dances (play three mvts) (Arnold/Paynter), Salvation is Created  (Tschesnokoff/Houseknecht), Circus Band (Ives)
2, 100-Concert Band, Berkner High School, TEA:, Richardson, Jason Schayot,AAAAAA,Varsity ,2018,138799,1,1,1,1,1,1,1,1,A, Symphony in Bb for Band (Hindemith), Colonial Song  (Grainger), March To The Scaffold  (Berlioz/Rogers)
3, 100-Concert Band, Berkner High School, TEA:, Richardson, Stephen Van Hooser,AAAAAA,Sub Non-Varsity B,2018,138796,1,1,1,1,2,3,2,2,2, West Highlands Sojourn  (Sheldon), Blacksmith Variations  (Mahaffey), Circus Days (King/Schissel)
4, 100-Concert Band, Garland High School, TEA:, Garland," Bob Beshears / Jacob Ramirez, Javier Rivera",AAAAAA,Varsity ,2018,136587,1,1,1,1,1,1,1,1,A, A Slavic Farewell (Agapkin / Bourgeois), The Hounds of Spring  (Reed), Festal Scenes  (Ito)
5, 100-Concert Band, Garland High School, TEA:, Garland, Jacob Ramirez,AAAAAA,Non-Varsity ,2018,132520,1,1,1,1,1,1,1,1,C, Imaginarium  (Standridge), Spoon River  (Grainger/Sheldon/Bainum/Carson-Naylor), The Big Cage (Circus Galop) (King/Glover)
6, 100-Concert Band, Garland High School, TEA:, Garland, Javier Rivera,AAAAAA,Sub Non-Varsity A,2018,129253,1,1,1,1,1,1,2,1,C, New Forest March (Vinson), La Madre de los Gatos  (Beck), Accolade  (Himes)
7, 100-Concert Band, JJ Pearce HS, TEA:, Richardson, Brent Smith,AAAAAA,Sub Non-Varsity A,2018,137833,1,1,2,1,2,1,2,2,2, Canarios Fantasia  (Akey), Ghost Fleet  (Sheldon), Desert Storm March (Ken C. Wood)
8, 100-Concert Band, JJ Pearce HS, TEA:, Richardson, Brian Taylor,AAAAAA,Non-Varsity ,2018,136428,1,1,1,1,1,2,2,2,2, The Rambler (Booth/Thiessen)," O Waly, Waly (Rhapsody for Band)  (Bocook)", Satiric Dances  (Dello Joio)
9, 100-Concert Band, JJ Pearce HS, TEA:, Richardson, Dimitrios Icossipentarhos,AAAAAA,Varsity ,2018,138586,1,1,1,1,1,1,1,1,A, Children's March (Grainger/Rogers), Four Scottish Dances  (Arnold/Paynter), Machu Picchu - City in the Sky  (Yagisawa)
10, 100-Concert Band, JJ Pearce HS, TEA:, Richardson, Kevin Kwaku,AAAAAA,Sub Non-Varsity B,2018,136386,2,1,2,2,3,3,3,3, , Salute to the Flag (Ralph J. Hermann), Of Emerald Shires (David A. Myers), Sparks (Brian Balmages)
11, 100-Concert Band, John Horn High School, TEA:, Mesquite," Todd Burke / Jody Minx, Zack Travis, Marqus Burleson",AAAAAA,Varsity ,2018,131162,1,1,1,1,1,2,2,2,1, The Voice of the Guns (Kenneth Alford), Variations on a Theme of Robert Schumann  (Jager), Finale (from Symphony No. 1 in g minor)  (Kalinnikov/Bainum)
12, 100-Concert Band, John Horn High School, TEA:, Mesquite," Zackary Travis / Todd Burke, Jody Minx, Marques Burleson",AAAAAA,Sub Non-Varsity A,2018,131948,1,1,1,1,3,3,3,3,2, A Walk In The Morning Sun (Pierre La Plante), Steel (Randall Standridge), Miss Liberty March (Karl L. King/James Swearingen)
13, 100-Concert Band, John Horn High School, TEA:," Mesquite, 75181", Jody Minx,AAAAAA,Non-Varsity ,2018,138349,2,1,2,2,2,2,2,2, , Amparito Roca (Jaime Texidor / Arr Aubrey Winter), English Country Settings  (La Plante), Imaginarium  (Standridge)
14, 100-Concert Band, Lake Highlands High School, TEA:, Dallas," James Rees / Levi Chavis, Aaron Singleton, Andrew Smit",AAAAAA,Non-Varsity ,2018,138578,1,1,1,1,1,1,1,1,C, The Liberty Bell March (Sousa), Themes from Green Bushes  (Grainger/Daehn), Courtly Airs and Dances (Nelson)
15, 100-Concert Band, Lake Highlands High School, TEA:, Dallas," Levi Chavis / James Rees, Aaron Singleton, Andrew Smit",AAAAAA,Varsity ,2018,137974,1,1,1,1,1,1,1,1,A, Manhattan Beach (Sousa), Walking Tune  (Grainger/Daehn), Suite Francaise  (Milhaud)
16, 100-Concert Band, Lake Highlands HS, TEA:, Dallas," Aaron Singleton / Levi Chavis, James Rees, Andrew Smit",AAAAAA,Sub Non-Varsity A,2018,137977,2,1,1,1,2,2,3,2,2, Sketches of Canada (play all) (Story), Brave Spirit  (Standridge), Rough - Riders  (King/Swearingen)
17, 100-Concert Band, Lakeview Centennial HS, TEA:, Garland," Christopher Loyd / Jared Hudler, Justin Myers",AAAAAA,Sub Non-Varsity B,2018,137324,1,2,2,2,2,2,2,2, , March Saranac (O'Reilly), Four Short Festive Dances (play all) (Eveland), Joy  (Ticheli)
18, 100-Concert Band, Lakeview Centennial HS, TEA:, Garland," Christopher Loyd / Jared Hudler, Justin Myers",AAAAAA,Varsity ,2018,137323,1,1,1,1,1,2,1,1,A, In Storm and Sunshine (Heed/Fennell), Molly On The Shore  (Grainger/Rogers/SMC), Finale (from Symphony in f minor No. 4)  (Tchaikovsky/Safranek)
