,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Argyle, TEA:, Argyle, Lucy Pascasio / Michael Lemish,CC,Non-Varsity ,2011,67027,1,1,2,1,1,1,1,1,D, Spania (David Shaffer), Maesong  (Owens), Two British Folk Songs  (Anon. or Trad./Del Borgo)
1, 100-Concert Band, Argyle, TEA:, Argyle, Ray Hilley / Michael Lemish,CC,Varsity ,2011,67030,1,1,1,1,1,1,1,1,C, Latin Folk Song Trilogy  (Himes), Shenandoah  (Ticheli), Gallant Marines March (King/Swearingen)
2, 100-Concert Band, Aubrey Middle School, TEA:, Aubrey, Chris Davis,CC,Varsity ,2011,63344,1,2,1,1,1,2,2,2,2, Captain Dane (Owens), Cahokia  (Spears), La Rejouissance (Handel/Williams)
3, 100-Concert Band, Aubrey Middle School, TEA:, Aubrey, Preston Pierce,CC,Non-Varsity ,2011,68297,1,1,1,1,1,1,1,1,D, March Mixolydian (Robert Sheldon), Courtlandt County Festival  (Owens), Atlantis  (McGinty)
4, 100-Concert Band, Boyd Middle School, TEA:, Boyd, James Steele,C,Varsity ,2011,64327,5,4,3,4,3,2,2,2, , Marching Song  (Holst/Moss), Air for Winds  (Shelton), Tricycle  (Boysen)
5, 100-Concert Band, Bridgeport Middle School, TEA:, Bridgeport," Jeffrey James / Lonnie Baker, Hughlen White",CC,Varsity ,2011,64834,1,1,1,1,1,2,3,2,2, Winchester March (Edmondson), Our Kingsland Spring  (Hazo), Sea Song Trilogy  (McGinty)
6, 100-Concert Band, Collins MS (LWISD), TEA:, Fort Worth, Kelly Kading,C,Varsity ,2011,67458,2,2,2,2,1,1,2,1,2, New South Wales March (Edmondson), Under An Irish Sky  (Neeck), Crusade  (Gassi)
7, 100-Concert Band, Decatur Middle School, TEA:, Decatur, Ginger Dillard,CC,Varsity ,2011,67651,1,2,1,1,1,1,1,1,C, Aldergate March (Ralph and Jacke Hale), Two British Folk Songs  (Anon. or Trad./Del Borgo), Ayrshire Portrait  (Story)
8, 100-Concert Band, Gainesville MS, TEA:, Gainesville, David Weilby / Taylor Kami,CC,Varsity ,2011,62417,2,2,3,2,3,2,3,3, , Valley Forge March (King / Swearingen), Chorale Prelude  (McGinty), La Rejouissance  (Handel/Williams)
9, 100-Concert Band, Irma Marsh Middle School, TEA:, Fort Worth," Matt Daily / Megan Meyer, Wes Griffin, Dave Daniel",CC,Varsity ,2011,67877,1,1,1,1,1,1,1,1,C, Advance Guard (Jerry Nowak), Kenya Contrasts  (Himes), Songs Of The Whalemen  (Del Borgo)
10, 100-Concert Band, Krum Middle School, TEA:, Krum, Jack Forbis,CC,Varsity ,2011,62406,1,1,1,1,2,1,1,1,C, Rough Riders (King / Swearingen), Heaven's Light (Reineke), Russian Sailor's Dance (Gliere / Williams)
11, 100-Concert Band, Marsh Middle School, TEA:, Fort Worth," Megan Meyer / Matt Daily, Wes Griffin, Dave Daniel",CC,Non-Varsity ,2011,67889,2,1,2,2,2,1,2,2, , Infinty (James Curnow), Cahokia  (Spears), Dance Celebration  (Smith)
12, 100-Concert Band, Mineral Wells Middle School, TEA:, Mineral Wells, Marilyn Burgess,CC,Varsity ,2011,62746,2,2,1,2,3,3,3,3, , Forward March (Murtha), Wildwind Overture  (Kinyon), Kenya Contrasts  (Himes)
13, 100-Concert Band, Pilot Point MS, TEA:, Pilot Point, Linda Orrantia / David Gudgel,C,Varsity ,2011,63522,2,1,2,2,1,1,1,1,2, March Chromatica (Mark Williams), Maesong (William Owens), Japanese Festival (Quincy Hilliard)
14, 100-Concert Band, Sanger Middle School, TEA:, Sanger, Mary Thornburg,CC,Non-Varsity ,2011,67360,1,1,1,1,1,1,1,1,D, Bridge Street March (Michael Sweeney), Two Classic Miniatures  (Anon. or Trad./Williams), Atlantis  (McGinty)
15, 100-Concert Band, Sanger Middle School, TEA:, Sanger, Mary Thornburg / Angela lee,CC,Varsity ,2011,67388,1,1,1,1,1,1,1,1,C, New Castle March (Johnnie Vinson), Maesong  (Owens), Abracadabra  (Ticheli)
