,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3
0, 100-Concert Band, Anderson-Shiro JH-HS, TEA:, Anderson, Jesse Warmanen,AA,Varsity ,2012,68821,2,2,2,2,2,3,3,3, , New Forest March (Vinson), Colliding Visions  (Balmages), Phantom Ship (Del Borgo)
1, 100-Concert Band, Axtell High School, TEA:, Axtell, syoung / Rebecca Reed,AA,Varsity ,2012,71508,2,2,2,2,2,1,2,2, , Procession for a New Day (James Swearingen), Dance Celebration  (Smith/ ), Two British Folk Songs  (Anon. or Trad./Del Borgo)
2, 100-Concert Band, Blooming Grove HS, TEA:, Blooming Grove, Tommy Ray,AA,Var-Composite ,2012,70381,1,1,1,1,1,1,1,1,B, Baton Rouge  (Sam Daniels), Gathering In The Glen (Sweeney/ ), Adrenaline Engines  (Standridge/ )
3, 100-Concert Band, Buffalo High School, TEA:, Buffalo, Jeff Villarreal,AA,Varsity ,2012,71299,3,3,3,3,3,2,2,2, , Blue Ridge Saga  (Swearingen/ ), Washington Post March (Sousa/Byrne), Pevensey Castle  (Sheldon/ )
4, 100-Concert Band, Centerville High School, TEA:, Centerville, John Eustace,AA,Var-Composite ,2012,70918,2,3,1,2,1,1,1,1,1, Joyous Spirit - March (Davis Shaffer), A Joyful Journey  (Sheldon/ ), Joy  (Ticheli/ )
5, 100-Concert Band, Coolidge High School, TEA:, coolidge, Rhonda Ivy,A,Varsity ,2012,70633,4,5,4,4,5,5,5,5, , Cadet Parade (Patrick J. Burns), Canticle  (Wagner/ ), Cedar Canyon Round Up  (Williams/ )
6, 100-Concert Band, Fairfield High School, TEA:, Fairfield, Bill Large,AAA,Varsity ,2012,71330,1,1,1,1,1,2,1,1,B, Henderson Field March (King), In The Shining Of The Stars  (Sheldon/ ), Overture for Winds  (Carter/ )
7, 100-Concert Band, Franklin High School, TEA:, Franklin, Tommy Tuggle / Mary Pepper,AA,Varsity ,2012,69078,3,3,3,3,2,2,2,2, , An Irish Air  (Anon. or Trad./Sheldon), Barbarossa  (Himes), March to Castle Rock (Hodges)
8, 100-Concert Band, Groesbeck High School, TEA:, Groesbeck," Collin Anderson / Brian Boecker, Kristi Flusche, Eric Senzig",AAA,Varsity ,2012,71423,1,2,1,1,1,2,1,1,B, Rough Riders (King/Swearingen), Deir in De  (Anon. or Trad./Barker), Serenade and Dances  (Sudduth/ )
9, 100-Concert Band, Hillsboro High School, TEA:, Hillsboro," Kenneth Pointer / Jacob Garcia, Glenn Doyle",AAA,Varsity ,2012,71526,2,2,2,2,2,2,2,2, , Baton Rouge March (Sam Daniels), In The Church (Pierre / Musgrave), Colliding Visions (Balmages)
